"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
"01_Liver_r3_C_GRCm39"	105589	13727	22346	0
"01_scAT_r2_C_GRCm39"	37497	6742	11540	0
"02_BAT_r2_C_GRCm39"	77953	9127	18086	0
"02_Liver_r3_C_GRCm39"	92049	13113	19357	0
"02_scAT_r2_C_GRCm39"	59359	11175	17898	0
"03_BAT_r2_C_GRCm39"	46119	5604	11549	0
"03_Liver_r3_C_GRCm39"	44671	6104	10988	0
"03_scAT_r2_C_GRCm39"	43560	7972	11280	0
"04_BAT_r2_C_GRCm39"	69325	8148	15404	0
"04_Blood_r1_C_GRCm39"	37132	5875	11483	0
"04_Liver_r3_C_GRCm39"	79066	10657	20103	0
"04_scAT_r2_C_GRCm39"	38808	7131	10603	0
"05_Blood_r2_C_GRCm39"	48517	7149	11170	0
"05_Liver_r1_C_GRCm39"	28436	4009	6092	0
"05_scAT_r2_C_GRCm39"	49543	9181	14600	0
"06_Liver_r1_C_GRCm39"	31861	4379	6345	0
"06_Liver_r3_C_GRCm39"	62986	8544	13880	0
"06_scAT_r2_C_GRCm39"	68909	12821	18555	0
"07_Liver_r1_C_GRCm39"	38498	5461	8273	0
"07_Liver_r3_C_GRCm39"	47743	6696	11341	0
"07_scAT_r2_C_GRCm39"	74060	13708	18188	0
"08_Liver_r3_C_GRCm39"	72959	10097	16012	0
"08_scAT_r2_C_GRCm39"	80476	15138	21084	0
"09_BAT_r2_C_GRCm39"	78815	9125	15818	0
"09_Blood_r1_C_GRCm39"	38700	5852	10530	0
"09_Liver_r3_C_GRCm39"	48894	6576	11531	0
"09_scAT_r2_C_GRCm39"	78671	15253	21150	0
"10_BAT_r2_C_GRCm39"	66974	7993	12824	0
"10_Blood_r1_C_GRCm39"	22342	3478	7140	0
"10_Liver_r3_C_GRCm39"	40121	5565	7910	0
"10_scAT_r2_C_GRCm39"	55270	10741	15033	1
"11_BAT_r2_C_GRCm39"	36536	3954	8869	0
"11_Blood_r1_C_GRCm39"	53020	8297	14097	0
"11_Liver_r3_C_GRCm39"	61136	8389	13801	0
"11_scAT_r2_C_GRCm39"	62772	11934	16958	0
"12_BAT_r2_C_GRCm39"	60913	7059	13925	0
"12_Blood_r1_C_GRCm39"	61143	9553	16219	0
"12_Liver_r3_C_GRCm39"	71231	9381	16037	0
"13_BAT_r2_C_GRCm39"	50284	6135	9354	0
"13_Blood_r1_C_GRCm39"	24820	3735	8236	0
"13_Liver_r3_C_GRCm39"	58414	8683	11601	0
"14_BAT_r2_C_GRCm39"	29281	3393	6073	0
"14_Blood_r1_C_GRCm39"	30121	4741	9178	0
"15_BAT_r2_C_GRCm39"	49485	5659	10986	0
"15_Blood_r1_C_GRCm39"	49311	7514	12951	0
"16_BAT_r2_C_GRCm39"	69097	7698	14379	0
"16_Blood_r1_C_GRCm39"	32336	5073	8968	0
"16_scAT_r2_C_GRCm39"	65980	12170	19053	0
