"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_BAT_r1_X_GRCm38"	100273	39030
"01_Blood_r3_X_GRCm38"	73260	29009
"01_Liver_r2_X_GRCm38"	59442	29605
"01_scAT_r1_X_GRCm38"	98313	37247
"02_BAT_r1_X_GRCm38"	96113	36966
"02_Blood_r3_X_GRCm38"	59635	25337
"02_Liver_r2_X_GRCm38"	39255	19776
"02_scAT_r1_X_GRCm38"	80976	32871
"03_BAT_r1_X_GRCm38"	66647	25920
"03_Liver_r2_X_GRCm38"	48405	22021
"04_BAT_r1_X_GRCm38"	44034	17026
"04_Liver_r2_X_GRCm38"	51359	24843
"05_BAT_r1_X_GRCm38"	21516	8441
"05_Blood_r3_X_GRCm38"	54929	23646
"05_Liver_r2_X_GRCm38"	57481	27690
"05_scAT_r1_X_GRCm38"	111198	45619
"06_BAT_r1_X_GRCm38"	59728	23004
"06_Blood_r3_X_GRCm38"	23309	9354
"06_Liver_r2_X_GRCm38"	52255	24687
"06_scAT_r1_X_GRCm38"	74658	30055
"07_BAT_r1_X_GRCm38"	48089	18256
"07_Blood_r3_X_GRCm38"	58639	24776
"07_Liver_r2_X_GRCm38"	56976	27789
"07_scAT_r1_X_GRCm38"	92262	37202
"08_BAT_r1_X_GRCm38"	41874	16494
"08_Blood_r3_X_GRCm38"	37968	16440
"08_Liver_r2_X_GRCm38"	19635	8931
"08_scAT_r1_X_GRCm38"	32801	14023
"09_BAT_r1_X_GRCm38"	42299	16933
"10_BAT_r1_X_GRCm38"	64293	25069
"11_BAT_r1_X_GRCm38"	47247	17225
"11_BAT_r3_X_GRCm38"	20902	9190
"12_BAT_r1_X_GRCm38"	44062	16664
"12_BAT_r3_X_GRCm38"	54603	23620
"13_BAT_r3_X_GRCm38"	46277	19687
"13_Blood_r2_X_GRCm38"	30238	14403
"13_scAT_r1_X_GRCm38"	93953	38320
"14_BAT_r3_X_GRCm38"	20117	9163
"14_Blood_r2_X_GRCm38"	48236	22200
"14_scAT_r1_X_GRCm38"	55645	23178
"15_BAT_r3_X_GRCm38"	62697	27190
"15_Blood_r2_X_GRCm38"	68148	32235
"15_Liver_r1_X_GRCm38"	18165	7548
"15_scAT_r1_X_GRCm38"	103168	42521
"16_BAT_r3_X_GRCm38"	65837	29138
"16_Blood_r2_X_GRCm38"	26811	13117
"16_Liver_r1_X_GRCm38"	40446	15965
"16_scAT_r1_X_GRCm38"	162079	66772
