"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
"01_Liver_r3_N_GRCm38"	311669	16942	51360	0
"01_scAT_r2_N_GRCm38"	129927	8165	26896	0
"02_BAT_r2_N_GRCm38"	222324	12969	42555	1
"02_Liver_r3_N_GRCm38"	289599	17332	47999	0
"02_scAT_r2_N_GRCm38"	220470	14212	44586	2
"03_BAT_r2_N_GRCm38"	133875	8335	26788	1
"03_Liver_r3_N_GRCm38"	126291	6923	23333	0
"03_scAT_r2_N_GRCm38"	164157	10712	29945	0
"04_BAT_r2_N_GRCm38"	192776	10856	34436	0
"04_Blood_r1_N_GRCm38"	135249	11356	41686	0
"04_Liver_r3_N_GRCm38"	242233	13778	46394	0
"04_scAT_r2_N_GRCm38"	143038	8341	26567	0
"05_Blood_r2_N_GRCm38"	165470	15394	44830	0
"05_Liver_r1_N_GRCm38"	104839	6180	17976	0
"05_scAT_r2_N_GRCm38"	184847	11948	37619	0
"06_Liver_r1_N_GRCm38"	116685	6801	19422	0
"06_Liver_r3_N_GRCm38"	195550	11216	34676	1
"06_scAT_r2_N_GRCm38"	250516	17405	50634	0
"07_Liver_r1_N_GRCm38"	142365	8280	23864	0
"07_Liver_r3_N_GRCm38"	147328	8503	27115	0
"07_scAT_r2_N_GRCm38"	275625	17321	48132	0
"08_Liver_r3_N_GRCm38"	220643	13074	37663	2
"08_scAT_r2_N_GRCm38"	302550	19907	56074	1
"09_BAT_r2_N_GRCm38"	234158	14899	38954	3
"09_Blood_r1_N_GRCm38"	134904	11506	37397	0
"09_Liver_r3_N_GRCm38"	144594	7936	25649	2
"09_scAT_r2_N_GRCm38"	298901	19671	54459	0
"10_BAT_r2_N_GRCm38"	199792	12248	32482	1
"10_Blood_r1_N_GRCm38"	83495	6786	24973	0
"10_Liver_r3_N_GRCm38"	132896	7700	20758	0
"10_scAT_r2_N_GRCm38"	211588	15253	42682	0
"11_BAT_r2_N_GRCm38"	91078	5019	17636	0
"11_Blood_r1_N_GRCm38"	193283	16265	51623	0
"11_Liver_r3_N_GRCm38"	186681	10634	32193	0
"11_scAT_r2_N_GRCm38"	241542	15083	44094	0
"12_BAT_r2_N_GRCm38"	175598	10423	33348	1
"12_Blood_r1_N_GRCm38"	229608	19282	59012	0
"12_Liver_r3_N_GRCm38"	217733	11748	35919	0
"13_BAT_r2_N_GRCm38"	158723	9204	24482	0
"13_Blood_r1_N_GRCm38"	81030	6288	24262	0
"13_Liver_r3_N_GRCm38"	188663	11979	29534	0
"14_BAT_r2_N_GRCm38"	84634	4866	15305	0
"14_Blood_r1_N_GRCm38"	110695	9323	32075	0
"15_BAT_r2_N_GRCm38"	137983	7345	24644	0
"15_Blood_r1_N_GRCm38"	178567	14120	46112	0
"16_BAT_r2_N_GRCm38"	196720	11274	34367	0
"16_Blood_r1_N_GRCm38"	115458	9716	31745	0
"16_scAT_r2_N_GRCm38"	241186	14870	47669	0
