"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
01_BAT_r3_X_GRCm38	81016	8067	14312	0
01_Blood_r2_X_GRCm38	62143	5078	13231	0
01_Liver_r1_X_GRCm38	15419	1092	3849	0
02_BAT_r3_X_GRCm38	100582	9588	20202	0
02_Blood_r2_X_GRCm38	92825	7709	20952	0
02_Liver_r1_X_GRCm38	44555	3294	7321	0
03_BAT_r3_X_GRCm38	56107	5852	10612	0
03_Blood_r2_X_GRCm38	170898	13984	34077	0
03_Liver_r1_X_GRCm38	39829	2832	7324	0
04_BAT_r3_X_GRCm38	69541	6938	15461	0
04_Blood_r2_X_GRCm38	153040	12772	33017	0
04_Liver_r1_X_GRCm38	34777	2678	7216	0
05_BAT_r3_X_GRCm38	15169	1552	3873	0
05_scAT_r3_X_GRCm38	82585	7606	14980	0
06_BAT_r3_X_GRCm38	40715	4119	7317	0
06_Blood_r2_X_GRCm38	39631	3362	7863	0
06_scAT_r3_X_GRCm38	138943	13074	27984	0
07_BAT_r3_X_GRCm38	22243	2026	4079	0
07_Blood_r2_X_GRCm38	16405	1441	4634	0
07_scAT_r3_X_GRCm38	110177	10027	18457	0
08_BAT_r3_X_GRCm38	45193	4566	10127	0
08_Blood_r2_X_GRCm38	53499	4720	10434	0
08_Liver_r1_X_GRCm38	35698	2593	5997	0
08_scAT_r3_X_GRCm38	100707	9145	20553	0
09_BAT_r3_X_GRCm38	58543	5939	13308	0
09_Blood_r2_X_GRCm38	116624	9634	25635	0
09_Liver_r1_X_GRCm38	66784	4928	12684	0
10_BAT_r3_X_GRCm38	55642	5609	9857	0
10_Blood_r2_X_GRCm38	79976	6596	16780	0
10_Liver_r1_X_GRCm38	71313	5198	12357	0
11_Blood_r2_X_GRCm38	152517	12506	31073	0
11_Liver_r1_X_GRCm38	39848	2975	7588	0
12_Blood_r2_X_GRCm38	96931	7859	19963	0
12_Liver_r1_X_GRCm38	56014	3862	10917	0
12_scAT_r2_X_GRCm38	54700	5888	11012	0
13_Liver_r1_X_GRCm38	55430	4285	8812	0
13_scAT_r3_X_GRCm38	53073	4487	10756	0
14_Liver_r1_X_GRCm38	48516	3766	9297	0
14_Liver_r3_X_GRCm38	85303	7027	14585	0
14_scAT_r3_X_GRCm38	54321	4895	11046	0
15_Liver_r3_X_GRCm38	18041	1457	4221	0
15_scAT_r3_X_GRCm38	82059	7237	14222	0
16_Liver_r3_X_GRCm38	33306	2750	4910	0
16_scAT_r3_X_GRCm38	128879	11156	24076	0
