"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_Liver_r3_X_GRCm38"	96063	42506
"01_scAT_r2_X_GRCm38"	29240	14822
"02_BAT_r2_X_GRCm38"	70891	30878
"02_Liver_r3_X_GRCm38"	85408	38780
"02_scAT_r2_X_GRCm38"	35030	12217
"03_BAT_r2_X_GRCm38"	43034	18799
"03_Liver_r3_X_GRCm38"	38505	18162
"03_scAT_r2_X_GRCm38"	36399	16785
"04_BAT_r2_X_GRCm38"	62014	26725
"04_Blood_r1_X_GRCm38"	43124	16260
"04_Liver_r3_X_GRCm38"	49970	15671
"04_scAT_r2_X_GRCm38"	32275	14673
"05_Blood_r2_X_GRCm38"	49454	19223
"05_Liver_r1_X_GRCm38"	34062	12636
"05_scAT_r2_X_GRCm38"	41140	19863
"06_Liver_r1_X_GRCm38"	36803	13939
"06_Liver_r3_X_GRCm38"	57397	25801
"06_scAT_r2_X_GRCm38"	56482	26554
"07_Liver_r1_X_GRCm38"	44849	16758
"07_Liver_r3_X_GRCm38"	43790	19415
"07_scAT_r2_X_GRCm38"	62747	29177
"08_Liver_r3_X_GRCm38"	66351	29369
"08_scAT_r2_X_GRCm38"	66233	32450
"09_BAT_r2_X_GRCm38"	72960	32345
"09_Blood_r1_X_GRCm38"	42871	16084
"09_Liver_r3_X_GRCm38"	44179	18560
"09_scAT_r2_X_GRCm38"	66320	30628
"10_BAT_r2_X_GRCm38"	63438	26702
"10_Blood_r1_X_GRCm38"	25814	9889
"10_Liver_r3_X_GRCm38"	38351	16089
"10_scAT_r2_X_GRCm38"	47814	21780
"11_BAT_r2_X_GRCm38"	30372	14273
"11_Blood_r1_X_GRCm38"	62062	22863
"11_Liver_r3_X_GRCm38"	56805	24242
"11_scAT_r2_X_GRCm38"	53619	25326
"12_BAT_r2_X_GRCm38"	40590	12714
"12_Blood_r1_X_GRCm38"	70386	27141
"12_Liver_r3_X_GRCm38"	65161	28670
"13_BAT_r2_X_GRCm38"	48705	19510
"13_Blood_r1_X_GRCm38"	26557	10470
"13_Liver_r3_X_GRCm38"	56466	23859
"14_BAT_r2_X_GRCm38"	26687	11070
"14_Blood_r1_X_GRCm38"	25103	6644
"15_BAT_r2_X_GRCm38"	44743	18779
"15_Blood_r1_X_GRCm38"	55814	20371
"16_BAT_r2_X_GRCm38"	62988	26735
"16_Blood_r1_X_GRCm38"	36371	13487
"16_scAT_r2_X_GRCm38"	54651	26099
