Sample Name	% mCpG	allCs(M)	% Bups	% Aligned	% Dups	% Failed	M Seqs
01_BAT_r3_C_1					50.6%	27%	0.1
01_BAT_r3_C_1_val_1					49.8%	18%	0.1
01_BAT_r3_C_2					50.2%	27%	0.1
01_BAT_r3_C_2_val_2					44.2%	18%	0.1
01_BAT_r3_C_GRCm39	38.3%	1.5	46.7%	72.8%			
01_Blood_r2_C_1					47.7%	18%	0.1
01_Blood_r2_C_1_val_1					46.7%	18%	0.1
01_Blood_r2_C_2					48.1%	18%	0.1
01_Blood_r2_C_2_val_2					41.4%	18%	0.1
01_Blood_r2_C_GRCm39	52.4%	0.9	45.9%	71.0%			
01_Liver_r1_C_1					38.6%	18%	0.0
01_Liver_r1_C_1_val_1					38.0%	18%	0.0
01_Liver_r1_C_2					37.0%	18%	0.0
01_Liver_r1_C_2_val_2					30.8%	18%	0.0
01_Liver_r1_C_GRCm39	47.7%	0.3	37.3%	70.0%			
02_BAT_r3_C_1					51.7%	18%	0.1
02_BAT_r3_C_1_val_1					50.8%	27%	0.1
02_BAT_r3_C_2					50.0%	27%	0.1
02_BAT_r3_C_2_val_2					43.6%	18%	0.1
02_BAT_r3_C_GRCm39	38.9%	2.0	47.6%	70.7%			
02_Blood_r2_C_1					47.3%	18%	0.1
02_Blood_r2_C_1_val_1					46.5%	18%	0.1
02_Blood_r2_C_2					46.6%	18%	0.1
02_Blood_r2_C_2_val_2					38.9%	18%	0.1
02_Blood_r2_C_GRCm39	53.2%	1.7	44.4%	70.3%			
02_Liver_r1_C_1					41.4%	18%	0.0
02_Liver_r1_C_1_val_1					40.7%	18%	0.0
02_Liver_r1_C_2					42.4%	18%	0.0
02_Liver_r1_C_2_val_2					37.3%	18%	0.0
02_Liver_r1_C_GRCm39	45.6%	0.6	39.1%	73.5%			
03_BAT_r3_C_1					51.0%	27%	0.1
03_BAT_r3_C_1_val_1					50.2%	27%	0.1
03_BAT_r3_C_2					49.4%	18%	0.1
03_BAT_r3_C_2_val_2					43.5%	18%	0.1
03_BAT_r3_C_GRCm39	39.0%	1.1	47.5%	71.4%			
03_Blood_r2_C_1					46.3%	9%	0.2
03_Blood_r2_C_1_val_1					45.6%	9%	0.2
03_Blood_r2_C_2					48.2%	9%	0.2
03_Blood_r2_C_2_val_2					40.6%	9%	0.2
