"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
"01_BAT_r1_X_GRCm38"	148784	10840	28724	1
"01_Blood_r3_X_GRCm38"	110111	10587	26665	0
"01_Liver_r2_X_GRCm38"	96455	9260	18893	0
"01_scAT_r1_X_GRCm38"	147594	11538	31998	0
"02_BAT_r1_X_GRCm38"	146338	10764	23343	0
"02_Blood_r3_X_GRCm38"	93508	8897	18808	0
"02_Liver_r2_X_GRCm38"	63894	6396	13687	0
"02_scAT_r1_X_GRCm38"	123985	9678	22939	0
"03_BAT_r1_X_GRCm38"	99696	7706	18846	0
"03_Liver_r2_X_GRCm38"	77057	7817	17699	0
"04_BAT_r1_X_GRCm38"	66461	4747	13769	1
"04_Liver_r2_X_GRCm38"	83678	8263	17121	0
"05_BAT_r1_X_GRCm38"	32136	2329	6472	0
"05_Blood_r3_X_GRCm38"	84749	8683	17003	0
"05_Liver_r2_X_GRCm38"	92016	9427	17275	0
"05_scAT_r1_X_GRCm38"	170302	13489	31087	0
"06_BAT_r1_X_GRCm38"	89504	6355	16711	0
"06_Blood_r3_X_GRCm38"	35255	3465	7566	0
"06_Liver_r2_X_GRCm38"	84895	8575	14257	0
"06_scAT_r1_X_GRCm38"	113474	8936	24154	2
"07_BAT_r1_X_GRCm38"	71147	5238	16501	0
"07_Blood_r3_X_GRCm38"	89010	8717	18512	0
"07_Liver_r2_X_GRCm38"	92548	9684	16524	0
"07_scAT_r1_X_GRCm38"	141460	10763	24778	0
"08_BAT_r1_X_GRCm38"	62733	4805	12653	0
"08_Blood_r3_X_GRCm38"	58075	5741	12760	0
"08_Liver_r2_X_GRCm38"	31637	3209	5340	0
"08_scAT_r1_X_GRCm38"	50012	3921	10744	0
"09_BAT_r1_X_GRCm38"	63951	4852	12310	0
"10_BAT_r1_X_GRCm38"	98019	7036	15670	0
"11_BAT_r1_X_GRCm38"	70907	5198	14108	0
"11_BAT_r3_X_GRCm38"	31843	2534	6299	1
"12_BAT_r1_X_GRCm38"	67869	4945	10378	0
"12_BAT_r3_X_GRCm38"	84980	6990	14508	0
"13_BAT_r3_X_GRCm38"	71906	5623	13715	0
"13_Blood_r2_X_GRCm38"	47228	5726	11496	0
"13_scAT_r1_X_GRCm38"	142254	11044	30551	1
"14_BAT_r3_X_GRCm38"	31042	2378	5785	0
"14_Blood_r2_X_GRCm38"	77076	9412	17113	0
"14_scAT_r1_X_GRCm38"	84230	6700	16830	0
"15_BAT_r3_X_GRCm38"	97799	7563	17010	0
"15_Blood_r2_X_GRCm38"	108191	12406	26707	0
"15_Liver_r1_X_GRCm38"	27656	2125	4759	0
"15_scAT_r1_X_GRCm38"	157104	11949	28517	0
"16_BAT_r3_X_GRCm38"	103498	7731	17887	0
"16_Blood_r2_X_GRCm38"	41984	4866	10129	0
"16_Liver_r1_X_GRCm38"	62592	4873	9492	0
"16_scAT_r1_X_GRCm38"	247918	18647	46276	0
