"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_Liver_r3_N_GRCm38"	232523	51722
"01_scAT_r2_N_GRCm38"	97973	23334
"02_BAT_r2_N_GRCm38"	161859	37807
"02_Liver_r3_N_GRCm38"	212706	50904
"02_scAT_r2_N_GRCm38"	163929	36888
"03_BAT_r2_N_GRCm38"	99369	23460
"03_Liver_r3_N_GRCm38"	94509	22208
"03_scAT_r2_N_GRCm38"	122823	27240
"04_BAT_r2_N_GRCm38"	142276	32307
"04_Blood_r1_N_GRCm38"	101079	23362
"04_Liver_r3_N_GRCm38"	177105	39501
"04_scAT_r2_N_GRCm38"	108151	23667
"05_Blood_r2_N_GRCm38"	120838	28035
"05_Liver_r1_N_GRCm38"	77086	17048
"05_scAT_r2_N_GRCm38"	138506	32921
"06_Liver_r1_N_GRCm38"	85398	18831
"06_Liver_r3_N_GRCm38"	144478	33113
"06_scAT_r2_N_GRCm38"	185588	42289
"07_Liver_r1_N_GRCm38"	104464	23252
"07_Liver_r3_N_GRCm38"	109992	25444
"07_scAT_r2_N_GRCm38"	207929	46330
"08_Liver_r3_N_GRCm38"	163255	37057
"08_scAT_r2_N_GRCm38"	223986	53578
"09_BAT_r2_N_GRCm38"	170276	40776
"09_Blood_r1_N_GRCm38"	100826	22796
"09_Liver_r3_N_GRCm38"	108912	23882
"09_scAT_r2_N_GRCm38"	224775	49680
"10_BAT_r2_N_GRCm38"	146825	32491
"10_Blood_r1_N_GRCm38"	62851	14702
"10_Liver_r3_N_GRCm38"	97877	21942
"10_scAT_r2_N_GRCm38"	159050	35665
"11_BAT_r2_N_GRCm38"	68082	16199
"11_Blood_r1_N_GRCm38"	145186	32343
"11_Liver_r3_N_GRCm38"	138124	30979
"11_scAT_r2_N_GRCm38"	180638	41104
"12_BAT_r2_N_GRCm38"	128169	28532
"12_Blood_r1_N_GRCm38"	167245	40827
"12_Liver_r3_N_GRCm38"	161666	35321
"13_BAT_r2_N_GRCm38"	114691	26048
"13_Blood_r1_N_GRCm38"	61695	14532
"13_Liver_r3_N_GRCm38"	140212	31070
"14_BAT_r2_N_GRCm38"	61672	13710
"14_Blood_r1_N_GRCm38"	82154	18276
"15_BAT_r2_N_GRCm38"	101229	22934
"15_Blood_r1_N_GRCm38"	132607	29638
"16_BAT_r2_N_GRCm38"	144113	32089
"16_Blood_r1_N_GRCm38"	86556	18643
"16_scAT_r2_N_GRCm38"	179960	41071
