"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_BAT_r2_X_GRCm38"	69891	27683
"01_Blood_r1_X_GRCm38"	85888	32847
"02_Blood_r1_X_GRCm38"	75155	28631
"03_Blood_r1_X_GRCm38"	63412	22725
"03_Blood_r3_X_GRCm38"	74958	32532
"03_scAT_r1_X_GRCm38"	77501	32057
"04_Blood_r3_X_GRCm38"	81493	33578
"04_scAT_r1_X_GRCm38"	111287	44420
"05_BAT_r2_X_GRCm38"	44779	18072
"05_Blood_r1_X_GRCm38"	39527	15044
"05_Liver_r3_X_GRCm38"	68671	28312
"06_BAT_r2_X_GRCm38"	66794	28218
"06_Blood_r1_X_GRCm38"	65290	23927
"07_BAT_r2_X_GRCm38"	98901	42647
"07_Blood_r1_X_GRCm38"	39395	14547
"08_BAT_r2_X_GRCm38"	92233	38627
"08_Blood_r1_X_GRCm38"	74080	28591
"09_Blood_r3_X_GRCm38"	16646	6421
"09_Liver_r2_X_GRCm38"	58847	28056
"09_scAT_r1_X_GRCm38"	45581	16990
"10_Blood_r3_X_GRCm38"	67764	29033
"10_Liver_r2_X_GRCm38"	46313	23515
"10_scAT_r1_X_GRCm38"	83874	34504
"11_Blood_r3_X_GRCm38"	43041	18802
"11_Liver_r2_X_GRCm38"	65466	33177
"11_scAT_r1_X_GRCm38"	90591	38247
"12_Blood_r3_X_GRCm38"	68261	27637
"12_Liver_r2_X_GRCm38"	14093	6321
"12_scAT_r1_X_GRCm38"	84704	33065
"13_BAT_r1_X_GRCm38"	43602	16983
"13_Blood_r3_X_GRCm38"	43470	18388
"13_Liver_r2_X_GRCm38"	39811	19867
"13_scAT_r2_X_GRCm38"	82058	40093
"14_BAT_r1_X_GRCm38"	44664	16396
"14_Blood_r3_X_GRCm38"	67201	28951
"14_Liver_r2_X_GRCm38"	49565	23624
"14_scAT_r2_X_GRCm38"	50507	24192
"15_BAT_r1_X_GRCm38"	69990	27946
"15_Blood_r3_X_GRCm38"	80641	34634
"15_Liver_r2_X_GRCm38"	23744	10627
"15_scAT_r2_X_GRCm38"	59420	26489
"16_BAT_r1_X_GRCm38"	29505	10483
"16_Blood_r3_X_GRCm38"	68425	29006
"16_Liver_r2_X_GRCm38"	22332	10419
