"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"	"Total reads before deduplication"	"PercentageDeduplicated"	"PercentageDuplicate"
"01_BAT_r1_X_GRCm38"	100273	39030	139303	71.981938651716	28.018061348284
"01_Blood_r3_X_GRCm38"	73260	29009	102269	71.6346106835894	28.3653893164106
"01_Liver_r2_X_GRCm38"	59442	29605	89047	66.7535121901917	33.2464878098083
"01_scAT_r1_X_GRCm38"	98313	37247	135560	72.5236057834169	27.4763942165831
"02_BAT_r1_X_GRCm38"	96113	36966	133079	72.2225144463063	27.7774855536937
"02_Blood_r3_X_GRCm38"	59635	25337	84972	70.181942286871	29.818057713129
"02_Liver_r2_X_GRCm38"	39255	19776	59031	66.4989581745185	33.5010418254815
"02_scAT_r1_X_GRCm38"	80976	32871	113847	71.1270389206567	28.8729610793433
"03_BAT_r1_X_GRCm38"	66647	25920	92567	71.9986604297428	28.0013395702572
"03_Liver_r2_X_GRCm38"	48405	22021	70426	68.7317183994547	31.2682816005453
"04_BAT_r1_X_GRCm38"	44034	17026	61060	72.115951523092	27.884048476908
"04_Liver_r2_X_GRCm38"	51359	24843	76202	67.3984934778615	32.6015065221385
"05_BAT_r1_X_GRCm38"	21516	8441	29957	71.8229462229195	28.1770537770805
"05_Blood_r3_X_GRCm38"	54929	23646	78575	69.9064587973274	30.0935412026726
"05_Liver_r2_X_GRCm38"	57481	27690	85171	67.4889340268401	32.5110659731599
"05_scAT_r1_X_GRCm38"	111198	45619	156817	70.9094039549284	29.0905960450716
"06_BAT_r1_X_GRCm38"	59728	23004	82732	72.1945559154861	27.8054440845139
"06_Blood_r3_X_GRCm38"	23309	9354	32663	71.36209166335	28.63790833665
"06_Liver_r2_X_GRCm38"	52255	24687	76942	67.9147929609316	32.0852070390684
"06_scAT_r1_X_GRCm38"	74658	30055	104713	71.2977376257007	28.7022623742993
"07_BAT_r1_X_GRCm38"	48089	18256	66345	72.4832315924335	27.5167684075665
"07_Blood_r3_X_GRCm38"	58639	24776	83415	70.2979080501109	29.7020919498891
"07_Liver_r2_X_GRCm38"	56976	27789	84765	67.216421872235	32.783578127765
"07_scAT_r1_X_GRCm38"	92262	37202	129464	71.2645986529074	28.7354013470926
"08_BAT_r1_X_GRCm38"	41874	16494	58368	71.7413651315789	28.2586348684211
"08_Blood_r3_X_GRCm38"	37968	16440	54408	69.7838553153948	30.2161446846052
"08_Liver_r2_X_GRCm38"	19635	8931	28566	68.7355597563537	31.2644402436463
"08_scAT_r1_X_GRCm38"	32801	14023	46824	70.0516828976593	29.9483171023407
"09_BAT_r1_X_GRCm38"	42299	16933	59232	71.4124122096164	28.5875877903836
"10_BAT_r1_X_GRCm38"	64293	25069	89362	71.9466887491327	28.0533112508673
"11_BAT_r1_X_GRCm38"	47247	17225	64472	73.2829755552798	26.7170244447202
"11_BAT_r3_X_GRCm38"	20902	9190	30092	69.4603216801808	30.5396783198192
"12_BAT_r1_X_GRCm38"	44062	16664	60726	72.5587063201923	27.4412936798077
"12_BAT_r3_X_GRCm38"	54603	23620	78223	69.8042775142861	30.1957224857139
"13_BAT_r3_X_GRCm38"	46277	19687	65964	70.1549329937542	29.8450670062458
"13_Blood_r2_X_GRCm38"	30238	14403	44641	67.7359378150131	32.2640621849869
"13_scAT_r1_X_GRCm38"	93953	38320	132273	71.0296129973615	28.9703870026385
"14_BAT_r3_X_GRCm38"	20117	9163	29280	68.7056010928962	31.2943989071038
"14_Blood_r2_X_GRCm38"	48236	22200	70436	68.4820262365836	31.5179737634164
"14_scAT_r1_X_GRCm38"	55645	23178	78823	70.5948771297718	29.4051228702282
"15_BAT_r3_X_GRCm38"	62697	27190	89887	69.75090947523	30.24909052477
"15_Blood_r2_X_GRCm38"	68148	32235	100383	67.8879890021219	32.1120109978781
"15_Liver_r1_X_GRCm38"	18165	7548	25713	70.645198926613	29.354801073387
"15_scAT_r1_X_GRCm38"	103168	42521	145689	70.8138569143861	29.1861430856139
"16_BAT_r3_X_GRCm38"	65837	29138	94975	69.3203474598579	30.6796525401421
"16_Blood_r2_X_GRCm38"	26811	13117	39928	67.1483670607093	32.8516329392907
"16_Liver_r1_X_GRCm38"	40446	15965	56411	71.6987821524171	28.3012178475829
"16_scAT_r1_X_GRCm38"	162079	66772	228851	70.8229371949434	29.1770628050566
"01_BAT_r2_X_GRCm38"	69891	27683	97574	71.6287125668723	28.3712874331277
"01_Blood_r1_X_GRCm38"	85888	32847	118735	72.3358740051375	27.6641259948625
"02_Blood_r1_X_GRCm38"	75155	28631	103786	72.4134276299308	27.5865723700692
"03_Blood_r1_X_GRCm38"	63412	22725	86137	73.6176091575049	26.3823908424951
"03_Blood_r3_X_GRCm38"	74958	32532	107490	69.7348590566564	30.2651409433436
"03_scAT_r1_X_GRCm38"	77501	32057	109558	70.739699519889	29.260300480111
"04_Blood_r3_X_GRCm38"	81493	33578	115071	70.8197547601046	29.1802452398954
"04_scAT_r1_X_GRCm38"	111287	44420	155707	71.472059701876	28.527940298124
"05_BAT_r2_X_GRCm38"	44779	18072	62851	71.2462808865412	28.7537191134588
"05_Blood_r1_X_GRCm38"	39527	15044	54571	72.4322442322845	27.5677557677155
"05_Liver_r3_X_GRCm38"	68671	28312	96983	70.8072548797212	29.1927451202788
"06_BAT_r2_X_GRCm38"	66794	28218	95012	70.3005936092283	29.6994063907717
"06_Blood_r1_X_GRCm38"	65290	23927	89217	73.1811201900983	26.8188798099017
"07_BAT_r2_X_GRCm38"	98901	42647	141548	69.8709978240597	30.1290021759403
"07_Blood_r1_X_GRCm38"	39395	14547	53942	73.0321456379074	26.9678543620926
"08_BAT_r2_X_GRCm38"	92233	38627	130860	70.4821947119058	29.5178052880941
"08_Blood_r1_X_GRCm38"	74080	28591	102671	72.1527987455075	27.8472012544925
"09_Blood_r3_X_GRCm38"	16646	6421	23067	72.1636970564009	27.8363029435991
"09_Liver_r2_X_GRCm38"	58847	28056	86903	67.7157290312187	32.2842709687813
"09_scAT_r1_X_GRCm38"	45581	16990	62571	72.8468459829633	27.1531540170366
"10_Blood_r3_X_GRCm38"	67764	29033	96797	70.0063018481978	29.9936981518022
"10_Liver_r2_X_GRCm38"	46313	23515	69828	66.3243970899925	33.6756029100074
"10_scAT_r1_X_GRCm38"	83874	34504	118378	70.8526922232171	29.1473077767828
"11_Blood_r3_X_GRCm38"	43041	18802	61843	69.5972058276604	30.4027941723396
"11_Liver_r2_X_GRCm38"	65466	33177	98643	66.3665946899425	33.6334053100575
"11_scAT_r1_X_GRCm38"	90591	38247	128838	70.3138825501793	29.6861174498207
"12_Blood_r3_X_GRCm38"	68261	27637	95898	71.1808379736804	28.8191620263196
"12_Liver_r2_X_GRCm38"	14093	6321	20414	69.035955716665	30.964044283335
"12_scAT_r1_X_GRCm38"	84704	33065	117769	71.9238509285126	28.0761490714874
"13_BAT_r1_X_GRCm38"	43602	16983	60585	71.9683089873731	28.0316910126269
"13_Blood_r3_X_GRCm38"	43470	18388	61858	70.273853018203	29.726146981797
"13_Liver_r2_X_GRCm38"	39811	19867	59678	66.7096752572137	33.2903247427863
"13_scAT_r2_X_GRCm38"	82058	40093	122151	67.17750980344	32.82249019656
"14_BAT_r1_X_GRCm38"	44664	16396	61060	73.147723550606	26.852276449394
"14_Blood_r3_X_GRCm38"	67201	28951	96152	69.8903818953324	30.1096181046676
"14_Liver_r2_X_GRCm38"	49565	23624	73189	67.721925425952	32.278074574048
"14_scAT_r2_X_GRCm38"	50507	24192	74699	67.614024284127	32.385975715873
