Sample Name	% mCpG	allCs(M)	% Bups	% Aligned	% Dups	% Failed	M Seqs
01_BAT_r2_C_1					45.7%	18%	0.1
01_BAT_r2_C_1_val_1					44.9%	18%	0.1
01_BAT_r2_C_2					46.0%	18%	0.1
01_BAT_r2_C_2_val_2					40.1%	18%	0.1
01_BAT_r2_C_GRCm39	44.3%	1.7	43.3%	74.9%			
01_Blood_r1_C_1					43.8%	9%	0.1
01_Blood_r1_C_1_val_1					43.2%	18%	0.1
01_Blood_r1_C_2					45.4%	18%	0.1
01_Blood_r1_C_2_val_2					37.8%	18%	0.1
01_Blood_r1_C_GRCm39	48.3%	2.1	39.2%	70.8%			
02_Blood_r1_C_1					42.5%	18%	0.1
02_Blood_r1_C_1_val_1					41.7%	18%	0.1
02_Blood_r1_C_2					45.3%	9%	0.1
02_Blood_r1_C_2_val_2					37.9%	9%	0.1
02_Blood_r1_C_GRCm39	49.9%	1.8	39.1%	70.6%			
03_Blood_r1_C_1					42.3%	18%	0.1
03_Blood_r1_C_1_val_1					41.6%	27%	0.1
03_Blood_r1_C_2					43.8%	18%	0.1
03_Blood_r1_C_2_val_2					37.0%	18%	0.1
03_Blood_r1_C_GRCm39	53.4%	1.5	37.8%	70.8%			
03_Blood_r3_C_1					48.4%	9%	0.1
03_Blood_r3_C_1_val_1					47.6%	18%	0.1
03_Blood_r3_C_2					49.1%	9%	0.1
03_Blood_r3_C_2_val_2					41.5%	9%	0.1
03_Blood_r3_C_GRCm39	53.4%	2.0	44.1%	70.3%			
03_scAT_r1_C_1					47.4%	18%	0.1
03_scAT_r1_C_1_val_1					46.6%	9%	0.1
03_scAT_r1_C_2					46.7%	18%	0.1
03_scAT_r1_C_2_val_2					40.1%	18%	0.1
03_scAT_r1_C_GRCm39	50.9%	1.9	43.6%	72.3%			
04_Blood_r3_C_1					47.5%	9%	0.1
04_Blood_r3_C_1_val_1					46.7%	18%	0.1
04_Blood_r3_C_2					49.0%	9%	0.1
04_Blood_r3_C_2_val_2					41.4%	9%	0.1
04_Blood_r3_C_GRCm39	52.6%	2.1	43.2%	70.2%			
04_scAT_r1_C_1					46.4%	9%	0.2
04_scAT_r1_C_1_val_1					45.7%	9%	0.2
04_scAT_r1_C_2					46.8%	9%	0.2
04_scAT_r1_C_2_val_2					40.1%	9%	0.2
04_scAT_r1_C_GRCm39	49.4%	2.7	42.6%	73.1%			
05_BAT_r2_C_1					46.4%	18%	0.1
05_BAT_r2_C_1_val_1					45.5%	27%	0.1
05_BAT_r2_C_2					45.9%	18%	0.1
05_BAT_r2_C_2_val_2					40.4%	18%	0.1
05_BAT_r2_C_GRCm39	47.1%	1.1	43.8%	75.0%			
05_Blood_r1_C_1					42.2%	18%	0.0
05_Blood_r1_C_1_val_1					41.6%	18%	0.0
05_Blood_r1_C_2					44.5%	18%	0.0
05_Blood_r1_C_2_val_2					37.9%	18%	0.0
05_Blood_r1_C_GRCm39	50.4%	0.8	38.7%	71.3%			
05_Liver_r3_C_1					47.2%	18%	0.1
05_Liver_r3_C_1_val_1					46.3%	27%	0.1
05_Liver_r3_C_2					48.3%	18%	0.1
05_Liver_r3_C_2_val_2					42.0%	9%	0.1
05_Liver_r3_C_GRCm39	45.7%	1.8	43.5%	73.6%			
06_BAT_r2_C_1					46.8%	18%	0.1
06_BAT_r2_C_1_val_1					46.0%	18%	0.1
06_BAT_r2_C_2					47.4%	9%	0.1
06_BAT_r2_C_2_val_2					41.8%	9%	0.1
06_BAT_r2_C_GRCm39	43.2%	1.6	44.9%	76.6%			
06_Blood_r1_C_1					42.4%	18%	0.1
06_Blood_r1_C_1_val_1					41.7%	18%	0.1
06_Blood_r1_C_2					44.4%	18%	0.1
06_Blood_r1_C_2_val_2					37.6%	18%	0.1
06_Blood_r1_C_GRCm39	49.6%	1.5	38.2%	71.2%			
07_BAT_r2_C_1					48.2%	9%	0.1
07_BAT_r2_C_1_val_1					47.4%	18%	0.1
07_BAT_r2_C_2					48.2%	9%	0.1
07_BAT_r2_C_2_val_2					41.7%	9%	0.1
07_BAT_r2_C_GRCm39	43.2%	2.6	45.1%	74.5%			
07_Blood_r1_C_1					42.2%	18%	0.0
07_Blood_r1_C_1_val_1					41.7%	18%	0.0
07_Blood_r1_C_2					43.4%	18%	0.0
07_Blood_r1_C_2_val_2					36.8%	27%	0.0
07_Blood_r1_C_GRCm39	51.9%	0.9	38.1%	70.5%			
08_BAT_r2_C_1					46.9%	9%	0.1
08_BAT_r2_C_1_val_1					46.0%	9%	0.1
08_BAT_r2_C_2					47.9%	18%	0.1
08_BAT_r2_C_2_val_2					41.6%	9%	0.1
08_BAT_r2_C_GRCm39	47.2%	2.3	44.6%	74.0%			
08_Blood_r1_C_1					43.7%	18%	0.1
08_Blood_r1_C_1_val_1					43.1%	18%	0.1
08_Blood_r1_C_2					45.8%	18%	0.1
08_Blood_r1_C_2_val_2					38.8%	18%	0.1
08_Blood_r1_C_GRCm39	48.5%	1.7	39.3%	71.4%			
09_Blood_r3_C_1					41.5%	27%	0.0
09_Blood_r3_C_1_val_1					40.4%	27%	0.0
09_Blood_r3_C_2					45.5%	18%	0.0
09_Blood_r3_C_2_val_2					39.8%	18%	0.0
09_Blood_r3_C_GRCm39	48.2%	0.5	41.9%	68.1%			
09_Liver_r2_C_1					51.4%	18%	0.1
09_Liver_r2_C_1_val_1					50.5%	27%	0.1
09_Liver_r2_C_2					50.7%	27%	0.1
09_Liver_r2_C_2_val_2					44.9%	18%	0.1
09_Liver_r2_C_GRCm39	43.6%	1.7	46.6%	72.0%			
09_scAT_r1_C_1					42.1%	18%	0.1
09_scAT_r1_C_1_val_1					40.9%	18%	0.1
09_scAT_r1_C_2					45.4%	18%	0.1
09_scAT_r1_C_2_val_2					38.9%	18%	0.1
09_scAT_r1_C_GRCm39	44.8%	1.3	41.6%	70.2%			
10_Blood_r3_C_1					47.2%	18%	0.1
10_Blood_r3_C_1_val_1					46.3%	18%	0.1
10_Blood_r3_C_2					48.9%	9%	0.1
10_Blood_r3_C_2_val_2					41.5%	18%	0.1
10_Blood_r3_C_GRCm39	49.7%	1.7	43.5%	70.7%			
10_Liver_r2_C_1					52.4%	18%	0.1
10_Liver_r2_C_1_val_1					51.6%	27%	0.1
10_Liver_r2_C_2					50.7%	27%	0.1
10_Liver_r2_C_2_val_2					45.0%	18%	0.1
10_Liver_r2_C_GRCm39	42.6%	1.4	48.4%	72.2%			
10_scAT_r1_C_1					46.7%	18%	0.1
10_scAT_r1_C_1_val_1					45.8%	9%	0.1
10_scAT_r1_C_2					47.4%	9%	0.1
10_scAT_r1_C_2_val_2					40.6%	9%	0.1
10_scAT_r1_C_GRCm39	46.5%	2.1	43.8%	72.6%			
11_Blood_r3_C_1					47.3%	18%	0.1
11_Blood_r3_C_1_val_1					46.5%	18%	0.1
11_Blood_r3_C_2					47.4%	18%	0.1
11_Blood_r3_C_2_val_2					40.5%	18%	0.1
11_Blood_r3_C_GRCm39	52.6%	1.1	43.6%	70.0%			
11_Liver_r2_C_1					52.3%	18%	0.1
11_Liver_r2_C_1_val_1					51.3%	27%	0.1
11_Liver_r2_C_2					51.6%	18%	0.1
11_Liver_r2_C_2_val_2					44.8%	18%	0.1
11_Liver_r2_C_GRCm39	42.1%	2.1	48.4%	71.1%			
11_scAT_r1_C_1					47.1%	9%	0.1
11_scAT_r1_C_1_val_1					46.4%	18%	0.1
11_scAT_r1_C_2					47.6%	9%	0.1
11_scAT_r1_C_2_val_2					41.1%	9%	0.1
11_scAT_r1_C_GRCm39	46.5%	2.2	43.8%	73.4%			
12_Blood_r3_C_1					46.6%	18%	0.1
12_Blood_r3_C_1_val_1					45.8%	18%	0.1
12_Blood_r3_C_2					47.7%	18%	0.1
12_Blood_r3_C_2_val_2					40.6%	18%	0.1
12_Blood_r3_C_GRCm39	49.1%	1.7	42.7%	71.2%			
12_Liver_r2_C_1					45.7%	18%	0.0
12_Liver_r2_C_1_val_1					44.3%	18%	0.0
12_Liver_r2_C_2					48.2%	18%	0.0
12_Liver_r2_C_2_val_2					43.2%	18%	0.0
12_Liver_r2_C_GRCm39	41.4%	0.4	46.4%	70.2%			
12_scAT_r1_C_1					45.3%	9%	0.1
12_scAT_r1_C_1_val_1					44.6%	18%	0.1
12_scAT_r1_C_2					46.1%	18%	0.1
12_scAT_r1_C_2_val_2					40.1%	9%	0.1
12_scAT_r1_C_GRCm39	48.1%	2.0	42.1%	74.5%			
13_BAT_r1_C_1					43.2%	18%	0.0
13_BAT_r1_C_1_val_1					42.3%	18%	0.0
13_BAT_r1_C_2					43.5%	18%	0.0
13_BAT_r1_C_2_val_2					38.0%	18%	0.0
13_BAT_r1_C_GRCm39	38.6%	1.0	40.6%	74.6%			
13_Blood_r3_C_1					47.3%	18%	0.1
13_Blood_r3_C_1_val_1					46.6%	18%	0.1
13_Blood_r3_C_2					46.7%	18%	0.1
13_Blood_r3_C_2_val_2					40.0%	18%	0.1
13_Blood_r3_C_GRCm39	49.9%	1.1	43.1%	69.6%			
13_Liver_r2_C_1					52.1%	27%	0.1
13_Liver_r2_C_1_val_1					51.3%	27%	0.1
13_Liver_r2_C_2					51.4%	27%	0.1
13_Liver_r2_C_2_val_2					45.7%	18%	0.1
13_Liver_r2_C_GRCm39	38.5%	1.1	48.5%	72.0%			
13_scAT_r2_C_1					52.7%	18%	0.1
13_scAT_r2_C_1_val_1					51.8%	27%	0.1
13_scAT_r2_C_2					52.3%	18%	0.1
13_scAT_r2_C_2_val_2					45.2%	18%	0.1
13_scAT_r2_C_GRCm39	38.1%	2.5	47.1%	70.6%			
14_BAT_r1_C_1					40.9%	18%	0.0
14_BAT_r1_C_1_val_1					40.1%	18%	0.0
14_BAT_r1_C_2					42.5%	18%	0.0
14_BAT_r1_C_2_val_2					37.3%	18%	0.0
14_BAT_r1_C_GRCm39	41.6%	0.9	38.3%	74.8%			
14_Blood_r3_C_1					48.1%	18%	0.1
14_Blood_r3_C_1_val_1					47.3%	18%	0.1
14_Blood_r3_C_2					49.3%	18%	0.1
14_Blood_r3_C_2_val_2					42.5%	18%	0.1
14_Blood_r3_C_GRCm39	49.2%	1.7	44.3%	71.7%			
14_Liver_r2_C_1					51.3%	27%	0.1
14_Liver_r2_C_1_val_1					50.4%	27%	0.1
14_Liver_r2_C_2					50.4%	27%	0.1
14_Liver_r2_C_2_val_2					44.4%	18%	0.1
14_Liver_r2_C_GRCm39	38.6%	1.4	47.0%	71.8%			
14_scAT_r2_C_1					50.7%	27%	0.1
14_scAT_r2_C_1_val_1					49.6%	27%	0.1
14_scAT_r2_C_2					50.3%	27%	0.1
14_scAT_r2_C_2_val_2					43.5%	18%	0.1
14_scAT_r2_C_GRCm39	39.8%	1.5	46.4%	68.4%			
15_BAT_r1_C_1					43.6%	18%	0.1
15_BAT_r1_C_1_val_1					42.8%	18%	0.1
15_BAT_r1_C_2					45.0%	18%	0.1
15_BAT_r1_C_2_val_2					38.5%	18%	0.1
15_BAT_r1_C_GRCm39	37.2%	1.8	40.7%	74.1%			
15_Blood_r3_C_1					48.5%	18%	0.1
15_Blood_r3_C_1_val_1					47.8%	9%	0.1
15_Blood_r3_C_2					49.9%	9%	0.1
15_Blood_r3_C_2_val_2					42.2%	9%	0.1
15_Blood_r3_C_GRCm39	46.9%	2.2	44.4%	70.9%			
15_Liver_r2_C_1					49.2%	18%	0.0
15_Liver_r2_C_1_val_1					48.4%	27%	0.0
15_Liver_r2_C_2					49.5%	18%	0.0
15_Liver_r2_C_2_val_2					45.0%	18%	0.0
15_Liver_r2_C_GRCm39	40.3%	0.6	46.4%	73.3%			
15_scAT_r2_C_1					51.1%	27%	0.1
15_scAT_r2_C_1_val_1					50.2%	27%	0.1
15_scAT_r2_C_2					50.5%	27%	0.1
15_scAT_r2_C_2_val_2					43.9%	18%	0.1
15_scAT_r2_C_GRCm39	39.3%	1.7	45.7%	69.7%			
16_BAT_r1_C_1					38.7%	18%	0.0
16_BAT_r1_C_1_val_1					37.6%	18%	0.0
16_BAT_r1_C_2					42.4%	18%	0.0
16_BAT_r1_C_2_val_2					36.6%	18%	0.0
16_BAT_r1_C_GRCm39	35.5%	0.8	38.9%	71.3%			
16_Blood_r3_C_1					47.2%	18%	0.1
16_Blood_r3_C_1_val_1					46.3%	18%	0.1
16_Blood_r3_C_2					49.0%	9%	0.1
16_Blood_r3_C_2_val_2					41.7%	9%	0.1
16_Blood_r3_C_GRCm39	47.8%	1.8	43.5%	70.1%			
16_Liver_r2_C_1					49.3%	18%	0.0
16_Liver_r2_C_1_val_1					48.6%	27%	0.0
16_Liver_r2_C_2					49.2%	18%	0.0
16_Liver_r2_C_2_val_2					44.5%	27%	0.0
16_Liver_r2_C_GRCm39	42.3%	0.6	46.2%	73.5%			
