"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"	"Total reads before alignment"
"01_BAT_r1_N_GRCm38"	294236	16262	52999	0	363497
"01_Blood_r3_N_GRCm38"	241916	20216	69875	0	332007
"01_Liver_r2_N_GRCm38"	255093	13332	43296	0	311721
"01_scAT_r1_N_GRCm38"	300998	18979	66676	0	386653
"02_BAT_r1_N_GRCm38"	291157	17399	47528	1	356085
"02_Blood_r3_N_GRCm38"	202978	17431	51940	0	272349
"02_Liver_r2_N_GRCm38"	170532	9433	31861	0	211826
"02_scAT_r1_N_GRCm38"	248403	15492	50201	0	314096
"03_BAT_r1_N_GRCm38"	205872	12370	36060	0	254302
"03_Liver_r2_N_GRCm38"	209302	11532	41788	0	262622
"04_BAT_r1_N_GRCm38"	134917	7422	26132	0	168471
"04_Liver_r2_N_GRCm38"	221068	12085	43378	0	276531
"05_BAT_r1_N_GRCm38"	63908	3645	13038	0	80591
"05_Blood_r3_N_GRCm38"	193743	18076	51775	0	263594
"05_Liver_r2_N_GRCm38"	254721	15026	42106	0	311853
"05_scAT_r1_N_GRCm38"	355796	22311	65242	0	443349
"06_BAT_r1_N_GRCm38"	178994	10187	31166	1	220348
"06_Blood_r3_N_GRCm38"	83158	7727	22831	0	113716
"06_Liver_r2_N_GRCm38"	238531	14419	37491	1	290442
"06_scAT_r1_N_GRCm38"	240803	16030	53026	0	309859
"07_BAT_r1_N_GRCm38"	149496	7934	30980	0	188410
"07_Blood_r3_N_GRCm38"	197636	17584	53044	0	268264
"07_Liver_r2_N_GRCm38"	261990	15420	42366	0	319776
"07_scAT_r1_N_GRCm38"	289277	18233	51087	0	358597
"08_BAT_r1_N_GRCm38"	126804	7293	24238	0	158335
"08_Blood_r3_N_GRCm38"	127354	11298	36165	0	174817
"08_Liver_r2_N_GRCm38"	94050	5655	15300	0	115005
"08_scAT_r1_N_GRCm38"	101267	6260	22242	0	129769
"09_BAT_r1_N_GRCm38"	125775	7778	23346	0	156899
"10_BAT_r1_N_GRCm38"	194576	11845	31720	0	238141
"11_BAT_r1_N_GRCm38"	140680	7956	27811	1	176448
"11_BAT_r3_N_GRCm38"	67748	3811	12209	0	83768
"12_BAT_r1_N_GRCm38"	135480	8023	23053	2	166558
"12_BAT_r3_N_GRCm38"	185236	11176	29325	0	225737
"13_BAT_r3_N_GRCm38"	159191	9273	27166	0	195630
"13_Blood_r2_N_GRCm38"	131653	10924	35486	0	178063
"13_scAT_r1_N_GRCm38"	295878	18216	60207	1	374302
"14_BAT_r3_N_GRCm38"	65289	3550	10989	0	79828
"14_Blood_r2_N_GRCm38"	229216	20038	57450	0	306704
"14_scAT_r1_N_GRCm38"	175187	10918	34515	0	220620
"15_BAT_r3_N_GRCm38"	208491	11463	34211	1	254166
"15_Blood_r2_N_GRCm38"	312648	25237	82724	0	420609
"15_Liver_r1_N_GRCm38"	54049	3437	9578	0	67064
"15_scAT_r1_N_GRCm38"	320016	19071	58573	0	397660
"16_BAT_r3_N_GRCm38"	216833	12678	36526	0	266037
"16_Blood_r2_N_GRCm38"	119520	9758	30374	0	159652
"16_Liver_r1_N_GRCm38"	130464	8509	21505	0	160478
"16_scAT_r1_N_GRCm38"	497310	29882	91310	0	618502
"01_BAT_r2_N_GRCm38"	214736	12707	36327	1	263771
"01_Blood_r1_N_GRCm38"	267531	21505	68911	0	357947
"02_Blood_r1_N_GRCm38"	238297	19411	61066	0	318774
"03_Blood_r1_N_GRCm38"	199284	16994	51905	0	268183
"03_Blood_r3_N_GRCm38"	257948	21936	66402	0	346286
"03_scAT_r1_N_GRCm38"	242175	15143	46735	0	304053
"04_Blood_r3_N_GRCm38"	277027	24978	76050	0	378055
"04_scAT_r1_N_GRCm38"	341600	19987	61317	0	422904
"05_BAT_r2_N_GRCm38"	141850	8474	24605	0	174929
"05_Blood_r1_N_GRCm38"	129710	11803	34422	0	175935
"05_Liver_r3_N_GRCm38"	228678	13468	37660	0	279806
"06_BAT_r2_N_GRCm38"	210875	12655	34202	0	257732
"06_Blood_r1_N_GRCm38"	205072	17952	53638	0	276662
"07_BAT_r2_N_GRCm38"	306719	17249	52636	1	376605
"07_Blood_r1_N_GRCm38"	125289	11473	34344	0	171106
"08_BAT_r2_N_GRCm38"	291547	18032	54571	3	364153
"08_Blood_r1_N_GRCm38"	236818	21651	63136	0	321605
"09_Blood_r3_N_GRCm38"	53826	4482	16493	0	74801
"09_Liver_r2_N_GRCm38"	261942	15121	43805	0	320868
"09_scAT_r1_N_GRCm38"	138126	8799	32302	0	179227
"10_Blood_r3_N_GRCm38"	238577	21092	62840	0	322509
"10_Liver_r2_N_GRCm38"	204012	11455	34140	0	249607
"10_scAT_r1_N_GRCm38"	273374	19459	56620	1	349454
"11_Blood_r3_N_GRCm38"	149634	12524	40532	0	202690
"11_Liver_r2_N_GRCm38"	292584	16365	51942	0	360891
"11_scAT_r1_N_GRCm38"	287100	18319	53291	0	358710
"12_Blood_r3_N_GRCm38"	238721	20907	58857	0	318485
"12_Liver_r2_N_GRCm38"	59791	3261	12472	0	75524
"12_scAT_r1_N_GRCm38"	268005	16278	43994	0	328277
"13_BAT_r1_N_GRCm38"	132785	7947	22106	0	162838
"13_Blood_r3_N_GRCm38"	149238	12953	38848	0	201039
"13_Liver_r2_N_GRCm38"	175501	10629	28334	1	214465
"13_scAT_r2_N_GRCm38"	365499	23295	63321	0	452115
"14_BAT_r1_N_GRCm38"	138753	8471	23771	1	170996
"14_Blood_r3_N_GRCm38"	235762	21261	59923	0	316946
"14_Liver_r2_N_GRCm38"	219875	13971	35035	3	268884
"14_scAT_r2_N_GRCm38"	225719	14670	43744	0	284133
"15_BAT_r1_N_GRCm38"	218167	11885	39247	2	269301
"15_Blood_r3_N_GRCm38"	277778	22830	71059	0	371667
"15_Liver_r2_N_GRCm38"	114444	7171	17555	0	139170
"15_scAT_r2_N_GRCm38"	261494	16201	45598	0	323293
"16_BAT_r1_N_GRCm38"	84408	4597	19016	0	108021
"16_Blood_r3_N_GRCm38"	234812	20180	62249	0	317241
"16_Liver_r2_N_GRCm38"	106802	7031	16609	0	130442
"01_Liver_r3_N_GRCm38"	311669	16942	51360	0	379971
"01_scAT_r2_N_GRCm38"	129927	8165	26896	0	164988
"02_BAT_r2_N_GRCm38"	222324	12969	42555	1	277849
"02_Liver_r3_N_GRCm38"	289599	17332	47999	0	354930
"02_scAT_r2_N_GRCm38"	220470	14212	44586	2	279270
"03_BAT_r2_N_GRCm38"	133875	8335	26788	1	168999
"03_Liver_r3_N_GRCm38"	126291	6923	23333	0	156547
"03_scAT_r2_N_GRCm38"	164157	10712	29945	0	204814
"04_BAT_r2_N_GRCm38"	192776	10856	34436	0	238068
"04_Blood_r1_N_GRCm38"	135249	11356	41686	0	188291
"04_Liver_r3_N_GRCm38"	242233	13778	46394	0	302405
"04_scAT_r2_N_GRCm38"	143038	8341	26567	0	177946
"05_Blood_r2_N_GRCm38"	165470	15394	44830	0	225694
"05_Liver_r1_N_GRCm38"	104839	6180	17976	0	128995
"05_scAT_r2_N_GRCm38"	184847	11948	37619	0	234414
"06_Liver_r1_N_GRCm38"	116685	6801	19422	0	142908
"06_Liver_r3_N_GRCm38"	195550	11216	34676	1	241443
"06_scAT_r2_N_GRCm38"	250516	17405	50634	0	318555
"07_Liver_r1_N_GRCm38"	142365	8280	23864	0	174509
"07_Liver_r3_N_GRCm38"	147328	8503	27115	0	182946
"07_scAT_r2_N_GRCm38"	275625	17321	48132	0	341078
"08_Liver_r3_N_GRCm38"	220643	13074	37663	2	271382
"08_scAT_r2_N_GRCm38"	302550	19907	56074	1	378532
"09_BAT_r2_N_GRCm38"	234158	14899	38954	3	288014
"09_Blood_r1_N_GRCm38"	134904	11506	37397	0	183807
"09_Liver_r3_N_GRCm38"	144594	7936	25649	2	178181
"09_scAT_r2_N_GRCm38"	298901	19671	54459	0	373031
"10_BAT_r2_N_GRCm38"	199792	12248	32482	1	244523
"10_Blood_r1_N_GRCm38"	83495	6786	24973	0	115254
"10_Liver_r3_N_GRCm38"	132896	7700	20758	0	161354
