"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
"01_BAT_r2_X_GRCm38"	105967	7470	17928	0
"01_Blood_r1_X_GRCm38"	128486	10889	26360	0
"02_Blood_r1_X_GRCm38"	114617	9847	23741	0
"03_Blood_r1_X_GRCm38"	92825	8220	18917	0
"03_Blood_r3_X_GRCm38"	114502	11049	23883	0
"03_scAT_r1_X_GRCm38"	117454	9034	22193	0
"04_Blood_r3_X_GRCm38"	123154	12437	26430	0
"04_scAT_r1_X_GRCm38"	168397	12395	30122	0
"05_BAT_r2_X_GRCm38"	68764	4915	11372	0
"05_Blood_r1_X_GRCm38"	58058	5149	11507	0
"05_Liver_r3_X_GRCm38"	104479	8705	17466	2
"06_BAT_r2_X_GRCm38"	105023	7274	16426	2
"06_Blood_r1_X_GRCm38"	97044	8579	18783	0
"07_BAT_r2_X_GRCm38"	155033	10694	26625	1
"07_Blood_r1_X_GRCm38"	57265	5306	11475	0
"08_BAT_r2_X_GRCm38"	144750	10663	26343	0
"08_Blood_r1_X_GRCm38"	112406	10164	21576	0
"09_Blood_r3_X_GRCm38"	24478	2311	6093	0
"09_Liver_r2_X_GRCm38"	94526	9341	16623	0
"09_scAT_r1_X_GRCm38"	67621	5113	15529	0
"10_Blood_r3_X_GRCm38"	104319	10237	21454	0
"10_Liver_r2_X_GRCm38"	75010	7180	13580	0
"10_scAT_r1_X_GRCm38"	129529	10308	24629	0
"11_Blood_r3_X_GRCm38"	65336	6226	14054	0
"11_Liver_r2_X_GRCm38"	108267	10859	21295	0
"11_scAT_r1_X_GRCm38"	138481	10784	23785	0
"12_Blood_r3_X_GRCm38"	105897	10427	21047	0
"12_Liver_r2_X_GRCm38"	22195	2221	5147	0
"12_scAT_r1_X_GRCm38"	130563	9821	21078	0
"13_BAT_r1_X_GRCm38"	65161	4878	10641	0
"13_Blood_r3_X_GRCm38"	65932	6440	14298	0
"13_Liver_r2_X_GRCm38"	63760	6590	11403	0
"13_scAT_r2_X_GRCm38"	131064	14411	25027	0
"14_BAT_r1_X_GRCm38"	66826	4841	10722	0
"14_Blood_r3_X_GRCm38"	104655	9811	20189	0
"14_Liver_r2_X_GRCm38"	80205	8327	14069	0
"14_scAT_r2_X_GRCm38"	80414	9167	17268	0
"15_BAT_r1_X_GRCm38"	107860	7373	18514	0
"15_Blood_r3_X_GRCm38"	124413	11831	25800	0
"15_Liver_r2_X_GRCm38"	37696	4078	5935	0
"15_scAT_r2_X_GRCm38"	91952	10210	17946	0
"16_BAT_r1_X_GRCm38"	43739	3093	10028	0
"16_Blood_r3_X_GRCm38"	104186	10218	22545	0
"16_Liver_r2_X_GRCm38"	35752	3767	5340	0
