"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_Liver_r3_C_GRCm39"	53954	44365
"01_scAT_r2_C_GRCm39"	18804	16915
"02_BAT_r2_C_GRCm39"	39350	32334
"02_Liver_r3_C_GRCm39"	46582	39048
"02_scAT_r2_C_GRCm39"	30071	25693
"03_BAT_r2_C_GRCm39"	23608	19322
"03_Liver_r3_C_GRCm39"	22490	19470
"03_scAT_r2_C_GRCm39"	22247	18745
"04_BAT_r2_C_GRCm39"	34797	29026
"04_Blood_r1_C_GRCm39"	21313	13404
"04_Liver_r3_C_GRCm39"	40172	31992
"04_scAT_r2_C_GRCm39"	19947	16605
"05_Blood_r2_C_GRCm39"	25527	18615
"05_Liver_r1_C_GRCm39"	15937	9981
"05_scAT_r2_C_GRCm39"	25315	21739
"06_Liver_r1_C_GRCm39"	17702	11480
"06_Liver_r3_C_GRCm39"	31893	26546
"06_scAT_r2_C_GRCm39"	34634	30007
"07_Liver_r1_C_GRCm39"	21260	13966
"07_Liver_r3_C_GRCm39"	24484	20176
"07_scAT_r2_C_GRCm39"	38233	31979
"08_Liver_r3_C_GRCm39"	37142	30396
"08_scAT_r2_C_GRCm39"	40154	35729
"09_BAT_r2_C_GRCm39"	38951	33512
"09_Blood_r1_C_GRCm39"	22049	14072
"09_Liver_r3_C_GRCm39"	25541	20209
"09_scAT_r2_C_GRCm39"	40389	33948
"10_BAT_r2_C_GRCm39"	34020	27272
"10_Blood_r1_C_GRCm39"	13023	8070
"10_Liver_r3_C_GRCm39"	20675	16360
"10_scAT_r2_C_GRCm39"	28325	23975
"11_BAT_r2_C_GRCm39"	17528	16399
"11_Blood_r1_C_GRCm39"	30694	18872
"11_Liver_r3_C_GRCm39"	31655	25130
"11_scAT_r2_C_GRCm39"	32022	27280
"12_BAT_r2_C_GRCm39"	30662	24800
"12_Blood_r1_C_GRCm39"	34312	22414
"12_Liver_r3_C_GRCm39"	36510	29304
"13_BAT_r2_C_GRCm39"	25675	19742
"13_Blood_r1_C_GRCm39"	14153	9361
"13_Liver_r3_C_GRCm39"	29848	24660
"14_BAT_r2_C_GRCm39"	14864	11892
"14_Blood_r1_C_GRCm39"	17044	10787
"15_BAT_r2_C_GRCm39"	24760	20595
"15_Blood_r1_C_GRCm39"	28256	17739
"16_BAT_r2_C_GRCm39"	34395	28671
"16_Blood_r1_C_GRCm39"	18477	11535
"16_scAT_r2_C_GRCm39"	33254	28930
