"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
"01_BAT_r2_N_GRCm38"	214736	12707	36327	1
"01_Blood_r1_N_GRCm38"	267531	21505	68911	0
"02_Blood_r1_N_GRCm38"	238297	19411	61066	0
"03_Blood_r1_N_GRCm38"	199284	16994	51905	0
"03_Blood_r3_N_GRCm38"	257948	21936	66402	0
"03_scAT_r1_N_GRCm38"	242175	15143	46735	0
"04_Blood_r3_N_GRCm38"	277027	24978	76050	0
"04_scAT_r1_N_GRCm38"	341600	19987	61317	0
"05_BAT_r2_N_GRCm38"	141850	8474	24605	0
"05_Blood_r1_N_GRCm38"	129710	11803	34422	0
"05_Liver_r3_N_GRCm38"	228678	13468	37660	0
"06_BAT_r2_N_GRCm38"	210875	12655	34202	0
"06_Blood_r1_N_GRCm38"	205072	17952	53638	0
"07_BAT_r2_N_GRCm38"	306719	17249	52636	1
"07_Blood_r1_N_GRCm38"	125289	11473	34344	0
"08_BAT_r2_N_GRCm38"	291547	18032	54571	3
"08_Blood_r1_N_GRCm38"	236818	21651	63136	0
"09_Blood_r3_N_GRCm38"	53826	4482	16493	0
"09_Liver_r2_N_GRCm38"	261942	15121	43805	0
"09_scAT_r1_N_GRCm38"	138126	8799	32302	0
"10_Blood_r3_N_GRCm38"	238577	21092	62840	0
"10_Liver_r2_N_GRCm38"	204012	11455	34140	0
"10_scAT_r1_N_GRCm38"	273374	19459	56620	1
"11_Blood_r3_N_GRCm38"	149634	12524	40532	0
"11_Liver_r2_N_GRCm38"	292584	16365	51942	0
"11_scAT_r1_N_GRCm38"	287100	18319	53291	0
"12_Blood_r3_N_GRCm38"	238721	20907	58857	0
"12_Liver_r2_N_GRCm38"	59791	3261	12472	0
"12_scAT_r1_N_GRCm38"	268005	16278	43994	0
"13_BAT_r1_N_GRCm38"	132785	7947	22106	0
"13_Blood_r3_N_GRCm38"	149238	12953	38848	0
"13_Liver_r2_N_GRCm38"	175501	10629	28334	1
"13_scAT_r2_N_GRCm38"	365499	23295	63321	0
"14_BAT_r1_N_GRCm38"	138753	8471	23771	1
"14_Blood_r3_N_GRCm38"	235762	21261	59923	0
"14_Liver_r2_N_GRCm38"	219875	13971	35035	3
"14_scAT_r2_N_GRCm38"	225719	14670	43744	0
"15_BAT_r1_N_GRCm38"	218167	11885	39247	2
"15_Blood_r3_N_GRCm38"	277778	22830	71059	0
"15_Liver_r2_N_GRCm38"	114444	7171	17555	0
"15_scAT_r2_N_GRCm38"	261494	16201	45598	0
"16_BAT_r1_N_GRCm38"	84408	4597	19016	0
"16_Blood_r3_N_GRCm38"	234812	20180	62249	0
"16_Liver_r2_N_GRCm38"	106802	7031	16609	0
