"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
"01_BAT_r3_N_GRCm38"	216894	12844	34600	2
"01_Blood_r2_N_GRCm38"	128546	10672	37497	0
"01_Liver_r1_N_GRCm38"	31094	1669	7400	0
"02_BAT_r3_N_GRCm38"	264769	15751	46804	0
"02_Blood_r2_N_GRCm38"	189058	14706	54496	0
"02_Liver_r1_N_GRCm38"	94026	5581	16157	1
"03_BAT_r3_N_GRCm38"	154510	9719	25511	1
"03_Blood_r2_N_GRCm38"	347908	28281	91420	0
"03_Liver_r1_N_GRCm38"	81646	4534	15914	0
"04_BAT_r3_N_GRCm38"	191313	10856	35197	0
"04_Blood_r2_N_GRCm38"	310609	26347	89653	0
"04_Liver_r1_N_GRCm38"	71046	4019	14686	0
"05_BAT_r3_N_GRCm38"	42401	2547	9931	0
"05_scAT_r3_N_GRCm38"	179715	11764	31790	0
"06_BAT_r3_N_GRCm38"	116691	7051	18820	3
"06_Blood_r2_N_GRCm38"	87568	7741	23941	0
"06_scAT_r3_N_GRCm38"	310589	21925	62469	0
"07_BAT_r3_N_GRCm38"	60833	3576	11080	0
"07_Blood_r2_N_GRCm38"	34710	3050	12506	0
"07_scAT_r3_N_GRCm38"	243877	16034	40715	0
"08_BAT_r3_N_GRCm38"	123365	7514	24731	0
"08_Blood_r2_N_GRCm38"	118120	10691	32537	0
"08_Liver_r1_N_GRCm38"	75130	4529	13206	0
"08_scAT_r3_N_GRCm38"	222538	14863	45845	0
"09_BAT_r3_N_GRCm38"	160600	10360	31326	0
"09_Blood_r2_N_GRCm38"	237637	20015	67459	0
"09_Liver_r1_N_GRCm38"	134815	7252	25007	0
"10_BAT_r3_N_GRCm38"	153564	9300	24331	0
"10_Blood_r2_N_GRCm38"	163216	13718	44609	0
"10_Liver_r1_N_GRCm38"	144210	8006	24950	0
"11_Blood_r2_N_GRCm38"	314267	26617	84287	0
"11_Liver_r1_N_GRCm38"	81501	4409	15268	0
"12_Blood_r2_N_GRCm38"	203794	17209	57059	0
"12_Liver_r1_N_GRCm38"	113674	5963	21714	0
"12_scAT_r2_N_GRCm38"	158317	9292	27023	0
"13_Liver_r1_N_GRCm38"	113396	6897	18656	0
"13_scAT_r3_N_GRCm38"	113326	7575	22972	0
"14_Liver_r1_N_GRCm38"	100307	6125	19446	0
"14_Liver_r3_N_GRCm38"	183668	11450	30011	0
"14_scAT_r3_N_GRCm38"	118957	8013	23782	0
"15_Liver_r3_N_GRCm38"	38653	2321	8515	2
"15_scAT_r3_N_GRCm38"	178184	11272	30300	0
"16_Liver_r3_N_GRCm38"	76054	5086	12079	0
"16_scAT_r3_N_GRCm38"	273542	17247	48566	0
