"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"	"Total reads before alignment"
"01_BAT_r1_X_GRCm38"	148784	10840	28724	1	188349
"01_Blood_r3_X_GRCm38"	110111	10587	26665	0	147363
"01_Liver_r2_X_GRCm38"	96455	9260	18893	0	124608
"01_scAT_r1_X_GRCm38"	147594	11538	31998	0	191130
"02_BAT_r1_X_GRCm38"	146338	10764	23343	0	180445
"02_Blood_r3_X_GRCm38"	93508	8897	18808	0	121213
"02_Liver_r2_X_GRCm38"	63894	6396	13687	0	83977
"02_scAT_r1_X_GRCm38"	123985	9678	22939	0	156602
"03_BAT_r1_X_GRCm38"	99696	7706	18846	0	126248
"03_Liver_r2_X_GRCm38"	77057	7817	17699	0	102573
"04_BAT_r1_X_GRCm38"	66461	4747	13769	1	84978
"04_Liver_r2_X_GRCm38"	83678	8263	17121	0	109062
"05_BAT_r1_X_GRCm38"	32136	2329	6472	0	40937
"05_Blood_r3_X_GRCm38"	84749	8683	17003	0	110435
"05_Liver_r2_X_GRCm38"	92016	9427	17275	0	118718
"05_scAT_r1_X_GRCm38"	170302	13489	31087	0	214878
"06_BAT_r1_X_GRCm38"	89504	6355	16711	0	112570
"06_Blood_r3_X_GRCm38"	35255	3465	7566	0	46286
"06_Liver_r2_X_GRCm38"	84895	8575	14257	0	107727
"06_scAT_r1_X_GRCm38"	113474	8936	24154	2	146566
"07_BAT_r1_X_GRCm38"	71147	5238	16501	0	92886
"07_Blood_r3_X_GRCm38"	89010	8717	18512	0	116239
"07_Liver_r2_X_GRCm38"	92548	9684	16524	0	118756
"07_scAT_r1_X_GRCm38"	141460	10763	24778	0	177001
"08_BAT_r1_X_GRCm38"	62733	4805	12653	0	80191
"08_Blood_r3_X_GRCm38"	58075	5741	12760	0	76576
"08_Liver_r2_X_GRCm38"	31637	3209	5340	0	40186
"08_scAT_r1_X_GRCm38"	50012	3921	10744	0	64677
"09_BAT_r1_X_GRCm38"	63951	4852	12310	0	81113
"10_BAT_r1_X_GRCm38"	98019	7036	15670	0	120725
"11_BAT_r1_X_GRCm38"	70907	5198	14108	0	90213
"11_BAT_r3_X_GRCm38"	31843	2534	6299	1	40677
"12_BAT_r1_X_GRCm38"	67869	4945	10378	0	83192
"12_BAT_r3_X_GRCm38"	84980	6990	14508	0	106478
"13_BAT_r3_X_GRCm38"	71906	5623	13715	0	91244
"13_Blood_r2_X_GRCm38"	47228	5726	11496	0	64450
"13_scAT_r1_X_GRCm38"	142254	11044	30551	1	183850
"14_BAT_r3_X_GRCm38"	31042	2378	5785	0	39205
"14_Blood_r2_X_GRCm38"	77076	9412	17113	0	103601
"14_scAT_r1_X_GRCm38"	84230	6700	16830	0	107760
"15_BAT_r3_X_GRCm38"	97799	7563	17010	0	122372
"15_Blood_r2_X_GRCm38"	108191	12406	26707	0	147304
"15_Liver_r1_X_GRCm38"	27656	2125	4759	0	34540
"15_scAT_r1_X_GRCm38"	157104	11949	28517	0	197570
"16_BAT_r3_X_GRCm38"	103498	7731	17887	0	129116
"16_Blood_r2_X_GRCm38"	41984	4866	10129	0	56979
"16_Liver_r1_X_GRCm38"	62592	4873	9492	0	76957
"16_scAT_r1_X_GRCm38"	247918	18647	46276	0	312841
"01_BAT_r2_X_GRCm38"	105967	7470	17928	0	131365
"01_Blood_r1_X_GRCm38"	128486	10889	26360	0	165735
"02_Blood_r1_X_GRCm38"	114617	9847	23741	0	148205
"03_Blood_r1_X_GRCm38"	92825	8220	18917	0	119962
"03_Blood_r3_X_GRCm38"	114502	11049	23883	0	149434
"03_scAT_r1_X_GRCm38"	117454	9034	22193	0	148681
"04_Blood_r3_X_GRCm38"	123154	12437	26430	0	162021
"04_scAT_r1_X_GRCm38"	168397	12395	30122	0	210914
"05_BAT_r2_X_GRCm38"	68764	4915	11372	0	85051
"05_Blood_r1_X_GRCm38"	58058	5149	11507	0	74714
"05_Liver_r3_X_GRCm38"	104479	8705	17466	2	130652
"06_BAT_r2_X_GRCm38"	105023	7274	16426	2	128725
"06_Blood_r1_X_GRCm38"	97044	8579	18783	0	124406
"07_BAT_r2_X_GRCm38"	155033	10694	26625	1	192353
"07_Blood_r1_X_GRCm38"	57265	5306	11475	0	74046
"08_BAT_r2_X_GRCm38"	144750	10663	26343	0	181756
"08_Blood_r1_X_GRCm38"	112406	10164	21576	0	144146
"09_Blood_r3_X_GRCm38"	24478	2311	6093	0	32882
"09_Liver_r2_X_GRCm38"	94526	9341	16623	0	120490
"09_scAT_r1_X_GRCm38"	67621	5113	15529	0	88263
"10_Blood_r3_X_GRCm38"	104319	10237	21454	0	136010
"10_Liver_r2_X_GRCm38"	75010	7180	13580	0	95770
"10_scAT_r1_X_GRCm38"	129529	10308	24629	0	164466
"11_Blood_r3_X_GRCm38"	65336	6226	14054	0	85616
"11_Liver_r2_X_GRCm38"	108267	10859	21295	0	140421
"11_scAT_r1_X_GRCm38"	138481	10784	23785	0	173050
"12_Blood_r3_X_GRCm38"	105897	10427	21047	0	137371
"12_Liver_r2_X_GRCm38"	22195	2221	5147	0	29563
"12_scAT_r1_X_GRCm38"	130563	9821	21078	0	161462
"13_BAT_r1_X_GRCm38"	65161	4878	10641	0	80680
"13_Blood_r3_X_GRCm38"	65932	6440	14298	0	86670
"13_Liver_r2_X_GRCm38"	63760	6590	11403	0	81753
"13_scAT_r2_X_GRCm38"	131064	14411	25027	0	170502
"14_BAT_r1_X_GRCm38"	66826	4841	10722	0	82389
"14_Blood_r3_X_GRCm38"	104655	9811	20189	0	134655
"14_Liver_r2_X_GRCm38"	80205	8327	14069	0	102601
"14_scAT_r2_X_GRCm38"	80414	9167	17268	0	106849
"15_BAT_r1_X_GRCm38"	107860	7373	18514	0	133747
"15_Blood_r3_X_GRCm38"	124413	11831	25800	0	162044
"15_Liver_r2_X_GRCm38"	37696	4078	5935	0	47709
"15_scAT_r2_X_GRCm38"	91952	10210	17946	0	120108
"16_BAT_r1_X_GRCm38"	43739	3093	10028	0	56860
"16_Blood_r3_X_GRCm38"	104186	10218	22545	0	136949
"16_Liver_r2_X_GRCm38"	35752	3767	5340	0	44859
"01_Liver_r3_X_GRCm38"	150325	11711	25415	0	187451
"01_scAT_r2_X_GRCm38"	46753	5155	11414	0	63322
"02_BAT_r2_X_GRCm38"	112495	7802	20887	0	141184
"02_Liver_r3_X_GRCm38"	135277	11320	22241	0	168838
"02_scAT_r2_X_GRCm38"	50880	5736	18268	0	74884
"03_BAT_r2_X_GRCm38"	66783	4950	13127	0	84860
"03_Liver_r3_X_GRCm38"	60867	4769	11859	0	77495
"03_scAT_r2_X_GRCm38"	57085	6431	11697	0	75213
"04_BAT_r2_X_GRCm38"	97219	6887	17198	0	121304
"04_Blood_r1_X_GRCm38"	64078	5748	15546	0	85372
"04_Liver_r3_X_GRCm38"	72343	5520	22243	0	100106
"04_scAT_r2_X_GRCm38"	50247	5509	10937	0	66693
"05_Blood_r2_X_GRCm38"	76006	6483	14552	0	97041
"05_Liver_r1_X_GRCm38"	51723	3943	8502	0	64168
"05_scAT_r2_X_GRCm38"	64939	7241	15350	0	87530
"06_Liver_r1_X_GRCm38"	56328	4105	9159	0	69592
"06_Liver_r3_X_GRCm38"	90801	7170	16231	0	114202
"06_scAT_r2_X_GRCm38"	89813	10244	19593	0	119650
"07_Liver_r1_X_GRCm38"	68207	5240	11021	0	84468
"07_Liver_r3_X_GRCm38"	68125	5693	13095	1	86914
"07_scAT_r2_X_GRCm38"	98353	10593	19270	0	128216
"08_Liver_r3_X_GRCm38"	104388	8548	17986	0	130922
"08_scAT_r2_X_GRCm38"	105976	12101	21829	0	139906
"09_BAT_r2_X_GRCm38"	115932	8376	18429	0	142737
"09_Blood_r1_X_GRCm38"	63889	5583	13801	0	83273
"09_Liver_r3_X_GRCm38"	67707	5405	12841	0	85953
"09_scAT_r2_X_GRCm38"	104190	11928	22024	0	138142
