"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_BAT_r3_C_GRCm39"	30198	26488
"01_Blood_r2_C_GRCm39"	20723	17557
"01_Liver_r1_C_GRCm39"	5899	3512
"02_BAT_r3_C_GRCm39"	38663	35071
"02_Blood_r2_C_GRCm39"	34072	27237
"02_Liver_r1_C_GRCm39"	13735	8838
"03_BAT_r3_C_GRCm39"	21518	19435
"03_Blood_r2_C_GRCm39"	60765	45293
"03_Liver_r1_C_GRCm39"	12062	9106
"04_BAT_r3_C_GRCm39"	26975	24108
"04_Blood_r2_C_GRCm39"	56090	43286
"04_Liver_r1_C_GRCm39"	11742	7609
"05_BAT_r3_C_GRCm39"	6358	4998
"05_scAT_r3_C_GRCm39"	30025	23010
"06_BAT_r3_C_GRCm39"	15099	13873
"06_Blood_r2_C_GRCm39"	14420	10787
"06_scAT_r3_C_GRCm39"	51151	39688
"07_BAT_r3_C_GRCm39"	7444	7853
"07_Blood_r2_C_GRCm39"	6463	4493
"07_scAT_r3_C_GRCm39"	38144	29935
"08_BAT_r3_C_GRCm39"	17568	15325
"08_Blood_r2_C_GRCm39"	18870	13898
"08_Liver_r1_C_GRCm39"	11635	7693
"08_scAT_r3_C_GRCm39"	37279	29010
"09_BAT_r3_C_GRCm39"	22901	19891
"09_Blood_r2_C_GRCm39"	42666	34912
"09_Liver_r1_C_GRCm39"	22557	14406
"10_BAT_r3_C_GRCm39"	20615	18858
"10_Blood_r2_C_GRCm39"	29063	23285
"10_Liver_r1_C_GRCm39"	23512	14990
"11_Blood_r2_C_GRCm39"	54751	42674
"11_Liver_r1_C_GRCm39"	13327	8557
"12_Blood_r2_C_GRCm39"	33022	24601
"12_Liver_r1_C_GRCm39"	18521	12187
"12_scAT_r2_C_GRCm39"	21479	18531
"13_Liver_r1_C_GRCm39"	17524	11372
"13_scAT_r3_C_GRCm39"	18267	16707
"14_Liver_r1_C_GRCm39"	16084	10530
"14_Liver_r3_C_GRCm39"	30594	25430
"14_scAT_r3_C_GRCm39"	19827	15649
"15_Liver_r3_C_GRCm39"	7122	5144
"15_scAT_r3_C_GRCm39"	28814	21867
"16_Liver_r3_C_GRCm39"	10929	8475
"16_scAT_r3_C_GRCm39"	46885	36533
