"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_BAT_r2_N_GRCm38"	161152	35747
"01_Blood_r1_N_GRCm38"	199927	45525
"02_Blood_r1_N_GRCm38"	174311	39900
"03_Blood_r1_N_GRCm38"	150260	33807
"03_Blood_r3_N_GRCm38"	194361	46652
"03_scAT_r1_N_GRCm38"	181954	42669
"04_Blood_r3_N_GRCm38"	209061	47989
"04_scAT_r1_N_GRCm38"	256669	57439
"05_BAT_r2_N_GRCm38"	105135	24184
"05_Blood_r1_N_GRCm38"	97776	23666
"05_Liver_r3_N_GRCm38"	172882	37568
"06_BAT_r2_N_GRCm38"	152974	36179
"06_Blood_r1_N_GRCm38"	152739	34635
"07_BAT_r2_N_GRCm38"	226564	51397
"07_Blood_r1_N_GRCm38"	95455	22164
"08_BAT_r2_N_GRCm38"	212292	49628
"08_Blood_r1_N_GRCm38"	173504	41738
"09_Blood_r3_N_GRCm38"	41856	8574
"09_Liver_r2_N_GRCm38"	194030	43165
"09_scAT_r1_N_GRCm38"	105703	21681
"10_Blood_r3_N_GRCm38"	177436	41885
"10_Liver_r2_N_GRCm38"	151964	35703
"10_scAT_r1_N_GRCm38"	200864	46789
"11_Blood_r3_N_GRCm38"	113901	26994
"11_Liver_r2_N_GRCm38"	214329	49263
"11_scAT_r1_N_GRCm38"	214390	50780
"12_Blood_r3_N_GRCm38"	174491	39560
"12_Liver_r2_N_GRCm38"	45146	9047
"12_scAT_r1_N_GRCm38"	196246	43363
"13_BAT_r1_N_GRCm38"	99434	23123
"13_Blood_r3_N_GRCm38"	112603	26486
"13_Liver_r2_N_GRCm38"	131342	31082
"13_scAT_r2_N_GRCm38"	273271	62716
"14_BAT_r1_N_GRCm38"	103072	22799
"14_Blood_r3_N_GRCm38"	172959	41814
"14_Liver_r2_N_GRCm38"	161531	35991
"14_scAT_r2_N_GRCm38"	168775	38294
"15_BAT_r1_N_GRCm38"	159946	36363
"15_Blood_r3_N_GRCm38"	206726	47817
"15_Liver_r2_N_GRCm38"	83519	19533
"15_scAT_r2_N_GRCm38"	198154	43409
"16_BAT_r1_N_GRCm38"	63581	12802
"16_Blood_r3_N_GRCm38"	176349	41110
"16_Liver_r2_N_GRCm38"	78168	18667
