"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_BAT_r2_C_GRCm39"	37827	28937
"01_Blood_r1_C_GRCm39"	43339	27942
"02_Blood_r1_C_GRCm39"	37336	23971
"03_Blood_r1_C_GRCm39"	31013	18878
"03_Blood_r3_C_GRCm39"	41579	32808
"03_scAT_r1_C_GRCm39"	41986	32407
"04_Blood_r3_C_GRCm39"	45135	34371
"04_scAT_r1_C_GRCm39"	59052	43803
"05_BAT_r2_C_GRCm39"	23912	18603
"05_Blood_r1_C_GRCm39"	18233	11532
"05_Liver_r3_C_GRCm39"	37770	29122
"06_BAT_r2_C_GRCm39"	35145	28642
"06_Blood_r1_C_GRCm39"	31307	19326
"07_BAT_r2_C_GRCm39"	54874	45089
"07_Blood_r1_C_GRCm39"	18705	11528
"08_BAT_r2_C_GRCm39"	50555	40751
"08_Blood_r1_C_GRCm39"	35238	22838
"09_Blood_r3_C_GRCm39"	9435	6811
"09_Liver_r2_C_GRCm39"	34624	30280
"09_scAT_r1_C_GRCm39"	25931	18476
"10_Blood_r3_C_GRCm39"	37374	28768
"10_Liver_r2_C_GRCm39"	27534	25791
"10_scAT_r1_C_GRCm39"	45762	35694
"11_Blood_r3_C_GRCm39"	23869	18469
"11_Liver_r2_C_GRCm39"	40697	38090
"11_scAT_r1_C_GRCm39"	47976	37399
"12_Blood_r3_C_GRCm39"	37682	28118
"12_Liver_r2_C_GRCm39"	8790	7613
"12_scAT_r1_C_GRCm39"	44592	32411
"13_BAT_r1_C_GRCm39"	20457	13966
"13_Blood_r3_C_GRCm39"	24229	18373
"13_Liver_r2_C_GRCm39"	23322	21926
"13_scAT_r2_C_GRCm39"	50288	44778
"14_BAT_r1_C_GRCm39"	20555	12772
"14_Blood_r3_C_GRCm39"	36364	28965
"14_Liver_r2_C_GRCm39"	29354	25983
"14_scAT_r2_C_GRCm39"	30693	26601
"15_BAT_r1_C_GRCm39"	35438	24352
"15_Blood_r3_C_GRCm39"	45862	36579
"15_Liver_r2_C_GRCm39"	12968	11226
"15_scAT_r2_C_GRCm39"	35304	29688
"16_BAT_r1_C_GRCm39"	15785	10029
"16_Blood_r3_C_GRCm39"	38432	29613
"16_Liver_r2_C_GRCm39"	12312	10578
