"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_BAT_r1_C_GRCm39"	52463	35047
"01_Blood_r3_C_GRCm39"	41543	30160
"01_Liver_r2_C_GRCm39"	37156	33738
"01_scAT_r1_C_GRCm39"	54955	38626
"02_BAT_r1_C_GRCm39"	46412	30958
"02_Blood_r3_C_GRCm39"	32625	25612
"02_Liver_r2_C_GRCm39"	25511	22866
"02_scAT_r1_C_GRCm39"	44233	33653
"03_BAT_r1_C_GRCm39"	34802	23721
"03_Liver_r2_C_GRCm39"	30811	25066
"04_BAT_r1_C_GRCm39"	23901	15819
"04_Liver_r2_C_GRCm39"	31921	28059
"05_BAT_r1_C_GRCm39"	11155	7346
"05_Blood_r3_C_GRCm39"	30192	23747
"05_Liver_r2_C_GRCm39"	34694	30592
"05_scAT_r1_C_GRCm39"	61178	46892
"06_BAT_r1_C_GRCm39"	30636	21003
"06_Blood_r3_C_GRCm39"	12983	9390
"06_Liver_r2_C_GRCm39"	29869	26230
"06_scAT_r1_C_GRCm39"	42376	31538
"07_BAT_r1_C_GRCm39"	26174	16941
"07_Blood_r3_C_GRCm39"	32809	25244
"07_Liver_r2_C_GRCm39"	34918	31841
"07_scAT_r1_C_GRCm39"	49421	38012
"08_BAT_r1_C_GRCm39"	21886	14763
"08_Blood_r3_C_GRCm39"	21745	17067
"08_Liver_r2_C_GRCm39"	11207	9458
"08_scAT_r1_C_GRCm39"	19235	15008
"09_BAT_r1_C_GRCm39"	22311	15338
"10_BAT_r1_C_GRCm39"	31613	21416
"11_BAT_r1_C_GRCm39"	24199	15014
"11_BAT_r3_C_GRCm39"	12079	9901
"12_BAT_r1_C_GRCm39"	20900	14067
"12_BAT_r3_C_GRCm39"	29981	24739
"13_BAT_r3_C_GRCm39"	26814	21839
"13_Blood_r2_C_GRCm39"	18844	16230
"13_scAT_r1_C_GRCm39"	54284	43258
"14_BAT_r3_C_GRCm39"	11526	9851
"14_Blood_r2_C_GRCm39"	28060	23890
"14_scAT_r1_C_GRCm39"	31446	23858
"15_BAT_r3_C_GRCm39"	35006	28906
"15_Blood_r2_C_GRCm39"	43941	38339
"15_Liver_r1_C_GRCm39"	9641	7835
"15_scAT_r1_C_GRCm39"	56696	44694
"16_BAT_r3_C_GRCm39"	36107	29373
"16_Blood_r2_C_GRCm39"	16779	14539
"16_Liver_r1_C_GRCm39"	20758	15731
"16_scAT_r1_C_GRCm39"	88274	68652
