"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"
"01_BAT_r1_N_GRCm38"	223790	49357
"01_Blood_r3_N_GRCm38"	183565	39183
"01_Liver_r2_N_GRCm38"	190043	42464
"01_scAT_r1_N_GRCm38"	226236	47705
"02_BAT_r1_N_GRCm38"	213963	48284
"02_Blood_r3_N_GRCm38"	148969	33861
"02_Liver_r2_N_GRCm38"	127056	29157
"02_scAT_r1_N_GRCm38"	184978	41319
"03_BAT_r1_N_GRCm38"	154467	35046
"03_Liver_r2_N_GRCm38"	156081	32933
"04_BAT_r1_N_GRCm38"	100126	23201
"04_Liver_r2_N_GRCm38"	161990	36073
"05_BAT_r1_N_GRCm38"	48628	10734
"05_Blood_r3_N_GRCm38"	144011	34272
"05_Liver_r2_N_GRCm38"	189677	42954
"05_scAT_r1_N_GRCm38"	264661	61215
"06_BAT_r1_N_GRCm38"	133890	29913
"06_Blood_r3_N_GRCm38"	61863	14517
"06_Liver_r2_N_GRCm38"	173589	39539
"06_scAT_r1_N_GRCm38"	178691	42052
"07_BAT_r1_N_GRCm38"	112646	25358
"07_Blood_r3_N_GRCm38"	149771	34524
"07_Liver_r2_N_GRCm38"	191848	44153
"07_scAT_r1_N_GRCm38"	214557	48269
"08_BAT_r1_N_GRCm38"	95513	21650
"08_Blood_r3_N_GRCm38"	96160	22164
"08_Liver_r2_N_GRCm38"	67686	16013
"08_scAT_r1_N_GRCm38"	77148	17202
"09_BAT_r1_N_GRCm38"	94513	21238
"10_BAT_r1_N_GRCm38"	144095	31773
"11_BAT_r1_N_GRCm38"	104821	21718
"11_BAT_r3_N_GRCm38"	51987	11624
"12_BAT_r1_N_GRCm38"	98416	21953
"12_BAT_r3_N_GRCm38"	137082	31103
"13_BAT_r3_N_GRCm38"	117942	26704
"13_Blood_r2_N_GRCm38"	100459	22908
"13_scAT_r1_N_GRCm38"	222322	50700
"14_BAT_r3_N_GRCm38"	49563	11633
"14_Blood_r2_N_GRCm38"	167151	39077
"14_scAT_r1_N_GRCm38"	132140	30849
"15_BAT_r3_N_GRCm38"	155536	34348
"15_Blood_r2_N_GRCm38"	231687	54505
"15_Liver_r1_N_GRCm38"	41113	9010
"15_scAT_r1_N_GRCm38"	240571	54334
"16_BAT_r3_N_GRCm38"	160579	36246
"16_Blood_r2_N_GRCm38"	91021	21795
"16_Liver_r1_N_GRCm38"	94766	21757
"16_scAT_r1_N_GRCm38"	371492	84399
