"Category"	"Deduplicated reads (remaining)"	"Duplicate reads (removed)"	"Total reads before deduplication"	"PercentageDeduplicated"	"PercentageDuplicate"
"01_BAT_r1_N_GRCm38"	223790	49357	273147	81.9302426898337	18.0697573101663
"01_Blood_r3_N_GRCm38"	183565	39183	222748	82.4092696679656	17.5907303320344
"01_Liver_r2_N_GRCm38"	190043	42464	232507	81.7364638484003	18.2635361515997
"01_scAT_r1_N_GRCm38"	226236	47705	273941	82.5856662566027	17.4143337433973
"02_BAT_r1_N_GRCm38"	213963	48284	262247	81.5883499143937	18.4116500856063
"02_Blood_r3_N_GRCm38"	148969	33861	182830	81.4795164907291	18.5204835092709
"02_Liver_r2_N_GRCm38"	127056	29157	156213	81.3351001517159	18.6648998482841
"02_scAT_r1_N_GRCm38"	184978	41319	226297	81.7412515411163	18.2587484588837
"03_BAT_r1_N_GRCm38"	154467	35046	189513	81.5073372275253	18.4926627724747
"03_Liver_r2_N_GRCm38"	156081	32933	189014	82.5764229104722	17.4235770895278
"04_BAT_r1_N_GRCm38"	100126	23201	123327	81.1874123265789	18.8125876734211
"04_Liver_r2_N_GRCm38"	161990	36073	198063	81.7871081423587	18.2128918576413
"05_BAT_r1_N_GRCm38"	48628	10734	59362	81.9177251440315	18.0822748559685
"05_Blood_r3_N_GRCm38"	144011	34272	178283	80.7766304134438	19.2233695865562
"05_Liver_r2_N_GRCm38"	189677	42954	232631	81.5355649075145	18.4644350924855
"05_scAT_r1_N_GRCm38"	264661	61215	325876	81.2152475174606	18.7847524825394
"06_BAT_r1_N_GRCm38"	133890	29913	163803	81.7384296990898	18.2615703009102
"06_Blood_r3_N_GRCm38"	61863	14517	76380	80.9937156323645	19.0062843676355
"06_Liver_r2_N_GRCm38"	173589	39539	213128	81.4482376787658	18.5517623212342
"06_scAT_r1_N_GRCm38"	178691	42052	220743	80.9497922923943	19.0502077076057
"07_BAT_r1_N_GRCm38"	112646	25358	138004	81.6251702849193	18.3748297150807
"07_Blood_r3_N_GRCm38"	149771	34524	184295	81.2669904229632	18.7330095770368
"07_Liver_r2_N_GRCm38"	191848	44153	236001	81.2911809695722	18.7088190304278
"07_scAT_r1_N_GRCm38"	214557	48269	262826	81.6346175796915	18.3653824203085
"08_BAT_r1_N_GRCm38"	95513	21650	117163	81.5214700886799	18.4785299113201
"08_Blood_r3_N_GRCm38"	96160	22164	118324	81.2683817315169	18.7316182684831
"08_Liver_r2_N_GRCm38"	67686	16013	83699	80.8683496815972	19.1316503184028
"08_scAT_r1_N_GRCm38"	77148	17202	94350	81.7678855325914	18.2321144674086
"09_BAT_r1_N_GRCm38"	94513	21238	115751	81.6519943672193	18.3480056327807
"10_BAT_r1_N_GRCm38"	144095	31773	175868	81.9336092978825	18.0663907021175
"11_BAT_r1_N_GRCm38"	104821	21718	126539	82.8369119401924	17.1630880598076
