"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
"01_BAT_r2_C_GRCm39"	71712	8552	15522	0
"01_Blood_r1_C_GRCm39"	76263	11705	19705	0
"02_Blood_r1_C_GRCm39"	66617	10208	17517	4
"03_Blood_r1_C_GRCm39"	53409	8351	13651	0
"03_Blood_r3_C_GRCm39"	78332	12892	20210	0
"03_scAT_r1_C_GRCm39"	79029	11241	19017	0
"04_Blood_r3_C_GRCm39"	84117	13770	22004	0
"04_scAT_r1_C_GRCm39"	110023	15124	25413	0
"05_BAT_r2_C_GRCm39"	46025	5739	9643	0
"05_Blood_r1_C_GRCm39"	31463	5238	7456	0
"05_Liver_r3_C_GRCm39"	71487	10588	15049	0
"06_BAT_r2_C_GRCm39"	69801	8052	13229	0
"06_Blood_r1_C_GRCm39"	54541	8671	13425	0
"07_BAT_r2_C_GRCm39"	108103	12968	24073	0
"07_Blood_r1_C_GRCm39"	31935	5367	8015	1
"08_BAT_r2_C_GRCm39"	99753	12254	22758	0
"08_Blood_r1_C_GRCm39"	62811	10040	15169	0
"09_Blood_r3_C_GRCm39"	17048	2686	5303	0
"09_Liver_r2_C_GRCm39"	69974	11797	15379	0
"09_scAT_r1_C_GRCm39"	47409	6392	13729	0
"10_Blood_r3_C_GRCm39"	70540	11112	18157	1
"10_Liver_r2_C_GRCm39"	56812	9317	12576	0
"10_scAT_r1_C_GRCm39"	88169	12073	21181	0
"11_Blood_r3_C_GRCm39"	44349	7264	11760	0
"11_Liver_r2_C_GRCm39"	85325	13581	21108	0
"11_scAT_r1_C_GRCm39"	90997	12609	20386	0
"12_Blood_r3_C_GRCm39"	71444	11381	17504	1
"12_Liver_r2_C_GRCm39"	17666	2722	4769	0
"12_scAT_r1_C_GRCm39"	84164	11405	17416	0
"13_BAT_r1_C_GRCm39"	36743	4795	7711	0
"13_Blood_r3_C_GRCm39"	45014	7494	12193	0
"13_Liver_r2_C_GRCm39"	47701	8154	10430	0
"13_scAT_r2_C_GRCm39"	100699	18170	23836	0
"14_BAT_r1_C_GRCm39"	36075	4763	7371	0
"14_Blood_r3_C_GRCm39"	70140	11142	16507	0
"14_Liver_r2_C_GRCm39"	59636	10134	13337	0
"14_scAT_r2_C_GRCm39"	61017	11502	16721	0
"15_BAT_r1_C_GRCm39"	65141	8025	14699	0
"15_Blood_r3_C_GRCm39"	87828	13897	22083	0
"15_Liver_r2_C_GRCm39"	26055	4707	4768	0
"15_scAT_r2_C_GRCm39"	68656	12734	17098	0
"16_BAT_r1_C_GRCm39"	27882	3374	7824	0
"16_Blood_r3_C_GRCm39"	72162	11645	19067	0
"16_Liver_r2_C_GRCm39"	24770	4403	4536	0
