"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
"01_Liver_r3_X_GRCm38"	150325	11711	25415	0
"01_scAT_r2_X_GRCm38"	46753	5155	11414	0
"02_BAT_r2_X_GRCm38"	112495	7802	20887	0
"02_Liver_r3_X_GRCm38"	135277	11320	22241	0
"02_scAT_r2_X_GRCm38"	50880	5736	18268	0
"03_BAT_r2_X_GRCm38"	66783	4950	13127	0
"03_Liver_r3_X_GRCm38"	60867	4769	11859	0
"03_scAT_r2_X_GRCm38"	57085	6431	11697	0
"04_BAT_r2_X_GRCm38"	97219	6887	17198	0
"04_Blood_r1_X_GRCm38"	64078	5748	15546	0
"04_Liver_r3_X_GRCm38"	72343	5520	22243	0
"04_scAT_r2_X_GRCm38"	50247	5509	10937	0
"05_Blood_r2_X_GRCm38"	76006	6483	14552	0
"05_Liver_r1_X_GRCm38"	51723	3943	8502	0
"05_scAT_r2_X_GRCm38"	64939	7241	15350	0
"06_Liver_r1_X_GRCm38"	56328	4105	9159	0
"06_Liver_r3_X_GRCm38"	90801	7170	16231	0
"06_scAT_r2_X_GRCm38"	89813	10244	19593	0
"07_Liver_r1_X_GRCm38"	68207	5240	11021	0
"07_Liver_r3_X_GRCm38"	68125	5693	13095	1
"07_scAT_r2_X_GRCm38"	98353	10593	19270	0
"08_Liver_r3_X_GRCm38"	104388	8548	17986	0
"08_scAT_r2_X_GRCm38"	105976	12101	21829	0
"09_BAT_r2_X_GRCm38"	115932	8376	18429	0
"09_Blood_r1_X_GRCm38"	63889	5583	13801	0
"09_Liver_r3_X_GRCm38"	67707	5405	12841	0
"09_scAT_r2_X_GRCm38"	104190	11928	22024	0
"10_BAT_r2_X_GRCm38"	99558	7202	15352	6
"10_Blood_r1_X_GRCm38"	38299	3400	9079	0
"10_Liver_r3_X_GRCm38"	59688	4713	9488	0
"10_scAT_r2_X_GRCm38"	74571	8616	15655	0
"11_BAT_r2_X_GRCm38"	48335	3131	9665	0
"11_Blood_r1_X_GRCm38"	91839	8301	19028	0
"11_Liver_r3_X_GRCm38"	88813	7042	15669	0
"11_scAT_r2_X_GRCm38"	84721	9547	17501	0
"12_BAT_r2_X_GRCm38"	59085	3785	16513	0
"12_Blood_r1_X_GRCm38"	106611	9618	22103	0
"12_Liver_r3_X_GRCm38"	102708	7897	17674	0
"13_BAT_r2_X_GRCm38"	76469	5441	11596	0
"13_Blood_r1_X_GRCm38"	39175	3480	9600	0
"13_Liver_r3_X_GRCm38"	87536	7379	13791	0
"14_BAT_r2_X_GRCm38"	41894	2788	7120	0
"14_Blood_r1_X_GRCm38"	34542	2936	12004	0
"15_BAT_r2_X_GRCm38"	69863	4823	12567	1
"15_Blood_r1_X_GRCm38"	83235	7342	17234	0
"16_BAT_r2_X_GRCm38"	99494	6741	16574	0
"16_Blood_r1_X_GRCm38"	54441	4759	12143	0
"16_scAT_r2_X_GRCm38"	86824	9374	19714	0
