"Category"	"Aligned Uniquely"	"Aligned Ambiguously"	"Did Not Align"	"No Genomic Sequence"
"01_BAT_r3_C_GRCm39"	60338	9786	12782	0
"01_Blood_r2_C_GRCm39"	40957	5628	11139	0
"01_Liver_r1_C_GRCm39"	10176	1222	3144	0
"02_BAT_r3_C_GRCm39"	78583	12216	20317	0
"02_Blood_r2_C_GRCm39"	66476	8788	19254	0
"02_Liver_r1_C_GRCm39"	24402	3586	5194	0
"03_BAT_r3_C_GRCm39"	43462	7045	10323	0
"03_Blood_r2_C_GRCm39"	114007	15947	26847	0
"03_Liver_r1_C_GRCm39"	22848	3082	5347	0
"04_BAT_r3_C_GRCm39"	54276	9033	15070	0
"04_Blood_r2_C_GRCm39"	106948	14728	28644	0
"04_Liver_r1_C_GRCm39"	21322	2873	5842	0
"05_BAT_r3_C_GRCm39"	12225	1984	3890	0
"05_scAT_r3_C_GRCm39"	55860	8961	13119	0
"06_BAT_r3_C_GRCm39"	30845	5035	6845	0
"06_Blood_r2_C_GRCm39"	26992	3846	6491	0
"06_scAT_r3_C_GRCm39"	96233	15302	25267	0
"07_BAT_r3_C_GRCm39"	16368	2569	3919	0
"07_Blood_r2_C_GRCm39"	11614	1733	3998	0
"07_scAT_r3_C_GRCm39"	72371	11396	15723	0
"08_BAT_r3_C_GRCm39"	35343	5866	10099	0
"08_Blood_r2_C_GRCm39"	35344	5082	8347	0
"08_Liver_r1_C_GRCm39"	20950	2840	4375	0
"08_scAT_r3_C_GRCm39"	71287	10994	18991	0
"09_BAT_r3_C_GRCm39"	45864	7647	13402	0
"09_Blood_r2_C_GRCm39"	83061	11095	22090	0
"09_Liver_r1_C_GRCm39"	40158	5443	10095	1
"10_BAT_r3_C_GRCm39"	42009	6897	9257	0
"10_Blood_r2_C_GRCm39"	56660	7848	14687	0
"10_Liver_r1_C_GRCm39"	41632	5600	8856	0
"11_Blood_r2_C_GRCm39"	104611	14493	26091	0
"11_Liver_r1_C_GRCm39"	23552	3274	5728	0
"12_Blood_r2_C_GRCm39"	64944	8854	16246	0
"12_Liver_r1_C_GRCm39"	33049	4669	8531	0
"12_scAT_r2_C_GRCm39"	42037	7851	10848	0
"13_Liver_r1_C_GRCm39"	31321	4368	6565	0
"13_scAT_r3_C_GRCm39"	37021	5391	9981	0
"14_Liver_r1_C_GRCm39"	29378	3966	7474	0
"14_Liver_r3_C_GRCm39"	60016	8376	12907	1
"14_scAT_r3_C_GRCm39"	37797	5690	9721	0
"15_Liver_r3_C_GRCm39"	13176	1951	3897	0
"15_scAT_r3_C_GRCm39"	53835	8617	11585	0
"16_Liver_r3_C_GRCm39"	21055	3270	3889	0
"16_scAT_r3_C_GRCm39"	88980	13343	21518	0
