7	58836996	58836996	1	9
7	58836996	58836996	2	9
12	14151983	14151983	1	6
12	14151983	14151983	2	6
12	22466735	22466735	1	8
12	22466735	22466735	2	9
4	140661793	140661793	1	8
4	140661793	140661793	2	8
9	111311706	111311706	1	14
9	111311706	111311706	2	14
3	95173166	95173166	1	5
3	95173166	95173166	2	5
11	75895201	75895201	1	5
11	75895201	75895201	2	5
8	8969146	8969146	1	7
8	8969146	8969146	2	6
8	121117104	121117104	1	11
8	121117104	121117104	2	11
1	63273286	63273286	1	8
1	63273286	63273286	2	8
8	25027972	25027972	1	15
8	25027972	25027972	2	16
7	58837119	58837119	1	13
7	58837119	58837119	2	13
3	95173181	95173181	1	5
3	95173181	95173181	2	5
5	111419488	111419488	1	14
5	111419488	111419488	2	14
5	135022262	135022262	1	8
5	135022262	135022262	2	8
10	120428504	120428504	1	15
10	120428504	120428504	2	15
19	5756875	5756875	1	4
19	5756875	5756875	2	4
6	110645953	110645953	1	10
6	110645953	110645953	2	10
5	131307602	131307602	1	16
5	131307602	131307602	2	15
6	83161434	83161434	1	14
6	83161434	83161434	2	14
5	111419939	111419939	1	13
5	111419939	111419939	2	13
3	95173328	95173328	1	12
3	95173328	95173328	2	12
19	40487657	40487657	1	8
19	40487657	40487657	2	8
15	98780773	98780773	1	3
15	98780773	98780773	2	3
3	29082978	29082978	1	1
3	29082978	29082978	2	1
7	19118279	19118279	1	8
7	19118279	19118279	2	8
9	110873863	110873863	1	6
9	110873863	110873863	2	5
6	90550611	90550611	1	18
6	90550611	90550611	2	18
3	158561376	158561376	1	9
3	158561376	158561376	2	9
15	26308812	26308812	1	6
15	26308812	26308812	2	6
10	79921218	79921218	1	7
10	79921218	79921218	2	7
14	21990803	21990803	1	10
14	21990803	21990803	2	10
12	22906211	22906211	1	18
12	22906211	22906211	2	18
16	18588908	18588908	1	11
16	18588908	18588908	2	11
10	79921819	79921819	1	12
10	79921819	79921819	2	12
4	99656966	99656966	1	12
4	99656966	99656966	2	12
11	61684617	61684617	1	10
11	61684617	61684617	2	11
16	33755524	33755524	1	8
16	33755524	33755524	2	8
12	19954358	19954358	1	8
12	19954358	19954358	2	8
7	115379735	115379735	1	5
7	115379735	115379735	2	5
2	74655649	74655649	1	2
2	74655649	74655649	2	2
11	69965628	69965628	1	9
11	69965628	69965628	2	9
4	105175583	105175583	1	5
4	105175583	105175583	2	5
7	44697263	44697263	1	10
7	44697263	44697263	2	9
4	78212190	78212190	1	4
4	78212190	78212190	2	4
12	14150198	14150198	1	9
12	14150198	14150198	2	9
13	18218741	18218741	1	8
13	18218741	18218741	2	8
8	99416670	99416670	1	5
8	99416670	99416670	2	5
9	111311765	111311765	1	17
9	111311765	111311765	2	17
11	90033352	90033352	1	6
11	90033352	90033352	2	6
11	61684760	61684760	1	4
11	61684760	61684760	2	4
10	80810385	80810385	1	14
10	80810385	80810385	2	14
4	123105473	123105473	1	5
4	123105473	123105473	2	5
8	69882206	69882206	1	12
8	69882206	69882206	2	12
8	69882233	69882233	1	12
8	69882233	69882233	2	12
11	35798308	35798308	1	1
11	35798308	35798308	2	1
8	48555184	48555184	1	7
8	48555184	48555184	2	7
11	69965631	69965631	1	8
11	69965631	69965631	2	8
12	14150167	14150167	1	8
12	14150167	14150167	2	8
8	87472974	87472974	1	3
8	87472974	87472974	2	3
6	88200056	88200056	1	2
6	88200056	88200056	2	2
2	30652644	30652644	1	5
2	30652644	30652644	2	5
12	22466826	22466826	1	11
12	22466826	22466826	2	11
5	69341468	69341468	1	13
5	69341468	69341468	2	13
1	109983116	109983116	1	4
1	109983116	109983116	2	4
15	98780779	98780779	1	3
15	98780779	98780779	2	3
4	140750337	140750337	1	5
4	140750337	140750337	2	5
10	75424632	75424632	1	7
10	75424632	75424632	2	7
19	61225696	61225696	1	3
19	61225696	61225696	2	3
9	45839573	45839573	1	11
9	45839573	45839573	2	10
5	81020087	81020087	1	2
5	81020087	81020087	2	2
18	61036161	61036161	1	9
18	61036161	61036161	2	9
12	84417643	84417643	1	7
12	84417643	84417643	2	7
11	98767348	98767348	1	2
11	98767348	98767348	2	2
12	19882419	19882419	1	7
12	19882419	19882419	2	7
7	28732605	28732605	1	10
7	28732605	28732605	2	10
11	57827286	57827286	1	16
11	57827286	57827286	2	16
3	124320988	124320988	1	6
3	124320988	124320988	2	6
18	58210351	58210351	1	2
18	58210351	58210351	2	2
2	54436805	54436805	1	6
2	54436805	54436805	2	6
4	156234042	156234042	1	15
4	156234042	156234042	2	15
4	83512457	83512457	1	13
4	83512457	83512457	2	12
15	87625501	87625501	1	5
15	87625501	87625501	2	5
17	35425822	35425822	1	22
17	35425822	35425822	2	22
5	89882485	89882485	1	2
5	89882485	89882485	2	2
8	84784807	84784807	1	14
8	84784807	84784807	2	14
16	18588889	18588889	1	12
16	18588889	18588889	2	12
4	114912901	114912901	1	15
4	114912901	114912901	2	14
12	109408943	109408943	1	9
12	109408943	109408943	2	9
8	8969126	8969126	1	5
8	8969126	8969126	2	5
2	133553339	133553339	1	10
2	133553339	133553339	2	10
4	25799668	25799668	1	5
4	25799668	25799668	2	5
5	131538153	131538153	1	7
